index,word1,word2,PKL_D(word1),PKL_R(word1),PKL_D(word2),PKL_R(word2),DIFF_SQ,LOGP_D(word1),LOGP_R(word1),LOGP_D(word2),LOGP_R(word2),P_D(word1),P_R(word1),P_D(word2),P_R(word2),google_valence_word1,google_valence_word2,pattern_valence_word1,pattern_valence_word2,crr_valence_word1,crr_valence_word2
44,seniors,patients,6.62405434952784,-3.304340829247749,-1.2517241649576267,1.5510615950425242,8.922487594482101e-07,1.120063708535326,-1.1200637085353262,-0.4088906419138679,0.4088906419138678,0.0005562837880087634,0.0002559314339582767,0.0002671199541487302,0.0003546456846226327,0.0,0.20000000298023224,0.0,0.0,4.79,6.71
45,capacity,capability,0.9392751400255372,-0.7985281478597261,-0.5074410934140405,0.6850133002977559,3.6754777885660124e-08,0.5649289244670398,-0.5649289244670398,-0.7651754793515038,0.7651754793515038,0.0001672741460445932,0.00011307543567678142,5.2300185197405104e-05,8.888817670848593e-05,0.10000000149011612,0.20000000298023224,0.0,0.0,5.14,6.63
46,deny,give,1.693709085171411,-1.0199528384829966,-1.0478410506548999,0.9995762073059926,9.629677621736096e-08,0.9783886290665771,-0.9783886290665772,-0.08857724860324948,0.08857724860324964,0.00016828268956079658,8.541125823179345e-05,0.001019061184300954,0.001083589201779638,-0.10000000149011612,0.10000000149011612,0.0,0.0,3.81,7.73
47,brought,bringing,0.7740772983117842,-0.8712634549608351,-0.7748487005315353,0.7486849870900666,4.154386807093272e-08,0.16989536890981727,-0.1698953689098172,-0.1833594164168853,0.18335941641688533,0.00046580302684080083,0.00041405563946350844,0.00035385469654222295,0.0004018108396108089,0.0,0.10000000149011612,0.0,0.0,5.68,5.68
48,provide,deliver,1.0551839021995162,-1.205441526618182,-0.5248582367565828,0.5788128021100395,5.2203427110785916e-08,0.07335452565394154,-0.07335452565394143,-0.4923320049083242,0.4923320049083243,0.0014351574235574442,0.0013640102354433139,8.457357771591404e-05,0.00011897108005030345,0.0,0.20000000298023224,0.0,0.0,6.67,6.0
49,supported,sponsored,0.6797477927047363,-0.7558422821629133,-0.7267298206854187,1.0533759210284892,4.299430137285076e-08,0.22790293738873132,-0.22790293738873124,-0.7381639304870664,0.7381639304870662,0.0003087583936034136,0.00026364112275442084,8.183610245764765e-05,0.00013650684280231768,0.10000000149011612,0.0,0.0,0.0,6.89,5.3
50,protect,defend,2.495897755751557,-2.4330306574903378,-1.6985405222058072,3.464144738712237,4.1811698598830296e-07,0.19357099121323929,-0.19357099121323917,-1.063452306174221,1.0634523061742207,0.001235898040284686,0.001080716964777153,0.00014177240284916426,0.0002962939223616198,0.30000001192092896,0.10000000149011612,0.0,0.0,6.83,6.3
51,country,globe,8.214184229138107,-7.657201763879925,-0.4866385163505342,0.5941759793517558,2.096410092578574e-06,0.19458722230496653,-0.19458722230496633,-0.6542913732320464,0.6542913732320463,0.003961847086937316,0.003461952610205844,5.8207368649453615e-05,9.160924334241918e-05,0.0,0.6000000238418579,0.0,0.0,6.14,6.15
52,democracy,freedom,3.3048400882723605,-1.8442469382315245,-4.427391147643161,10.400951970871281,2.0078530313428652e-06,1.0034503427976282,-1.0034503427976282,-1.203904894197756,1.203904894197756,0.0003133688782489149,0.00015631016108260963,0.0003359890685409055,0.0007739922869854557,0.0,0.20000000298023224,0.0,0.0,6.16,7.72
53,ensure,ensures,1.268675700612021,-1.3815454528054405,-0.6913813871046083,0.761819432020235,7.541816495774196e-08,0.11283120489226509,-0.11283120489226511,-0.3898376903129182,0.38983769031291815,0.001108965634888229,0.001025539780255729,0.00014652696513983745,0.00019198636806084547,0.10000000149011612,0.30000001192092896,0.0,0.0,5.71,5.71
54,protecting,defending,0.6551379274138907,-0.7601628119772306,-0.5238122085479957,0.7745940713383938,3.033544979488467e-08,0.17101482794917408,-0.17101482794917394,-0.8710689743491548,0.8710689743491548,0.00039808653361000083,0.00035358749204276974,4.768970055190383e-05,8.722530265441561e-05,0.4000000059604645,0.0,0.0,0.0,6.83,6.3
55,rates,prices,1.8887650726255245,-1.60195919843949,-1.0482097633254284,1.3663373131563272,1.4909405706881737e-07,0.4338706175550626,-0.4338706175550628,-0.5099632455828921,0.5099632455828922,0.00042128303448267913,0.00031186447032246,0.0001770714259162834,0.0002521521747444805,0.0,0.10000000149011612,0.0,0.0,5.68,4.94
56,program,project,5.3046200903116265,-4.852595213454282,-0.7744035038206649,0.7364177756198385,8.739537092345979e-07,0.23794645601185443,-0.23794645601185452,-0.1627643465253866,0.16276434652538677,0.0021029573089292697,0.0017832056674375852,0.00039837468890034465,0.00044595258722794813,0.10000000149011612,0.0,0.0,0.0,5.5,5.0
57,consumers,taxpayers,1.0829999506850592,-1.0792342200110017,-2.520854981463222,3.912387400978451,3.776155623514839e-07,0.2799684262903085,-0.27996842629030844,-0.6434595392285319,0.6434595392285318,0.0003852636231897004,0.0003173066035903265,0.0003531343083163634,0.000551620674845689,0.0,-0.30000001192092896,0.0,0.0,5.95,4.05
58,children,babies,12.196316730446968,-8.832541597966763,-1.005061656523449,3.1305444338602495,3.822014891071963e-06,0.5524226892395719,-0.5524226892395718,-1.7259340427251855,1.7259340427251857,0.0020657852764749155,0.0014086054941661087,4.999494287465447e-05,0.00016538038319572043,0.0,0.0,0.0,0.0,6.36,6.67
59,policy,policies,0.677058660289151,-0.8343481325788517,-1.0563597070313984,1.1074483715935088,5.748179234767734e-08,0.06422018446889395,-0.06422018446889403,-0.21337083426680578,0.21337083426680578,0.001091820395112771,0.0010442849059561579,0.0004267579849992119,0.0004947806162701947,0.0,0.0,0.0,0.0,3.77,3.77
60,create,produce,1.1082825273387926,-1.2065900711719915,-0.8345110213267218,1.011216946090708,7.22941749867653e-08,0.13800319911749018,-0.13800319911749007,-0.4620358443782568,0.4620358443782568,0.0007986223871879242,0.0007257689394174166,0.00015243414859188596,0.00020997564191851524,0.10000000149011612,0.0,0.0,0.0,7.86,6.57
61,institute,foundation,0.5931657474805683,-0.6209459583911917,-1.0172408406707232,1.2053443819817058,5.2871068207436575e-08,0.37382895491063717,-0.37382895491063717,-0.38647068368413473,0.38647068368413473,0.00016669783546390552,0.00012864598363762164,0.00022620190291990636,0.0002956892408874124,0.20000000298023224,0.0,0.0,0.0,4.95,5.86
62,deficit,debt,9.740754230705717,-3.918149106114755,-2.902500440702515,3.7629958853119954,1.938030631731153e-06,1.4196581685692475,-1.4196581685692475,-0.3790883538446544,0.37908835384465445,0.0006430185304022562,0.00024036088599743645,0.0006930134732769106,0.0009012777373061107,0.10000000149011612,0.0,0.0,0.0,2.95,1.95
63,rape,murder,0.5659849494651098,-0.5194562327687323,-0.5240565282426779,0.7398155088485316,2.2871896223512633e-08,0.6138741407048982,-0.6138741407048982,-0.8103412997397982,0.8103412997397982,9.739648813621446e-05,6.364272516032751e-05,5.12916416812017e-05,8.994636928834887e-05,-0.5,0.10000000149011612,0.0,0.0,1.54,1.48
64,leaving,left,0.4880138645648752,-0.5512984111321034,-0.8061638686280792,0.764296259795672,2.9327127317037973e-08,0.3264638544193862,-0.32646385441938636,-0.14695191515843484,0.1469519151584347,0.00016093472965702892,0.00012834364290051795,0.00046133661984047145,0.0005108046753366904,0.0,0.0,0.0,0.0,4.68,4.68
65,difficult,tough,0.42574559399088346,-0.5634173544825235,-0.6024322502991704,0.607739224591184,2.015001968188143e-08,0.12138988923097305,-0.12138988923097312,-0.32384090718803893,0.3238409071880388,0.0003851195455445285,0.00035404100314842524,0.0001508492944949949,0.00018881179032125667,-0.10000000149011612,0.10000000149011612,-0.5,-0.3888888888888889,3.78,4.45
66,statement,comments,0.5366700126202563,-0.6378926905846781,-1.0261314625639697,1.3166983710799391,5.649992750815649e-08,0.2022780728755319,-0.2022780728755319,-0.4927566804448219,0.49275668044482196,0.00028210402924660935,0.00024519833779109557,0.00017908851294869021,0.00025200100437592867,0.0,0.0,0.0,0.0,5.32,5.65
67,nothing,something,2.2791074103073172,-2.096668415155237,-2.1531652755109087,2.3855500138206382,3.2863973055781507e-07,0.2891321324899521,-0.2891321324899523,-0.18336253623500287,0.1833625362350031,0.0007577043359591004,0.0006201008517996757,0.001052775353271182,0.0011954552745080047,-0.30000001192092896,0.0,0.0,0.0,,
68,sexual,sex,1.6248518076941116,-1.2433111626726066,-0.8417725580181555,1.0498824300720766,9.790192090777105e-08,0.6135870048330617,-0.6135870048330618,-0.4985052226328912,0.4985052226328914,0.00025789898485772765,0.0001685549609353092,0.00014263686872019574,0.00020151010127961183,-0.20000000298023224,0.0,0.5,0.0,6.64,6.73
69,homeowners,farmers,0.6567417601415203,-0.46115493342138386,-1.094100031410737,1.393131453316883,6.129417678071925e-08,1.0096993736543804,-1.0096993736543804,-0.4698355075307648,0.4698355075307647,6.757241558562808e-05,3.3559821818509995e-05,0.0002012764703051651,0.0002787581596096055,0.0,0.10000000149011612,0.0,0.0,6.9,6.14
70,investors,inventors,0.6860896722401859,-0.676012515717513,-0.31913082916418617,0.7312175116360293,2.4317392037302727e-08,0.4212906238796741,-0.4212906238796741,-1.679917180907541,1.679917180907541,0.0001684267672059685,0.00012577374663513656,1.3399221000988084e-05,4.29323846687245e-05,0.0,0.10000000149011612,0.0,0.0,5.42,6.21
71,commitments,promises,1.5155493476601387,-0.688088537703119,-0.9830943397743556,1.881679878458668,1.077611795088293e-07,1.453723026959269,-1.453723026959269,-1.0497710261200897,1.0497710261200897,0.00010186289513654382,3.718791066375432e-05,8.025124836075659e-05,0.00016613623503847967,0.0,0.10000000149011612,0.0,0.0,6.33,6.64
72,wars,war,0.7477545251379557,-0.6128966315769975,-2.5758992044681173,3.029759404160764,2.742912488015422e-07,0.6948880861586859,-0.694888086158686,-0.2508777580500959,0.25087775805009593,0.00011036347620168681,6.817783621688292e-05,0.0009261311031650689,0.0011020319867429634,0.10000000149011612,0.10000000149011612,0.0,0.0,2.23,2.23
73,require,include,0.889642630780449,-0.9614091929535626,-3.137710601509492,4.68077421978549,5.293470587888738e-07,0.19792260259488995,-0.19792260259489006,-0.572690149058174,0.572690149058174,0.0004541327375818757,0.00039591519523728683,0.0004969237981979344,0.0007390719318499791,0.0,0.10000000149011612,0.0,0.0,4.74,6.39
74,question,questions,2.469644222203458,-2.233992924656336,-0.7140860640545532,0.7600901566206915,2.0137006347319122e-07,0.30628199643469617,-0.3062819964346964,-0.33451378290301764,0.33451378290301764,0.0007731206439924953,0.0006252406443304385,0.0001770714259162834,0.00022327863435107776,0.10000000149011612,0.10000000149011612,0.0,0.0,6.36,6.36
75,programs,activities,4.944660489798574,-4.2673106275755,-0.9330064603449513,0.9974654522852755,7.350062267825591e-07,0.3268218870906458,-0.32682188709064586,-0.2673756774314521,0.26737567743145224,0.001428673929524708,0.0011390687270381658,0.00029766441492517614,0.000358273773467877,0.0,0.10000000149011612,0.0,0.0,5.5,6.21
76,ports,borders,2.478441850961196,-1.0969230149916454,-0.5778395030503007,0.6419423800843507,1.1986236627265164e-07,1.3940716483293527,-1.3940716483293527,-0.46302356989629223,0.46302356989629223,0.00017044385423837532,6.485208810874229e-05,0.0001005661963299966,0.00013862322796204355,0.20000000298023224,0.0,0.0,0.0,5.55,4.68
77,bridge,fence,2.167804650937104,-1.0567416494119986,-0.3392715862941008,1.541854792965516,1.1577549336226742e-07,1.2652545231825012,-1.2652545231825012,-2.564093564260468,2.564093564260468,0.00016496890372184254,6.863134732253846e-05,9.509124581346383e-06,5.623537710128702e-05,0.0,0.0,0.0,0.0,5.44,5.05
78,partners,allies,0.7586759121018699,-0.6787003351911555,-1.1699199825460815,1.7358849657225672,8.634359746943121e-08,0.5458830087631712,-0.545883008763171,-0.6678889766327687,0.6678889766327686,0.0001423487134298519,9.750488771594121e-05,0.00015214599330154213,0.00024172141931440308,0.0,0.10000000149011612,0.0,0.0,7.11,6.05
79,corporations,businesses,4.901550986613728,-1.731073115559314,-4.475499383154392,6.256394246741714,1.3171265771133915e-06,1.6570113611736543,-1.6570113611736548,-0.4620040621956102,0.4620040621956102,0.00027936655398834296,8.858583597138224e-05,0.0008852130519362451,0.0012193401927391965,0.0,0.0,0.0,0.0,3.82,5.48
80,agreement,treaty,1.0080519292251142,-1.0920702806264262,-0.7816126154130653,1.4044206487220636,7.543192084691781e-08,0.16519644211741505,-0.16519644211741516,-1.0104351834573215,1.0104351834573218,0.0006107451378837472,0.0005446668378923041,6.48349403273617e-05,0.00013061119842879565,0.0,0.0,0.0,0.0,6.75,5.42
81,hope,believe,2.4296366071670756,-2.2886053516271976,-2.8013465690457453,3.2191361522249644,4.832019322668635e-07,0.24731542569028328,-0.24731542569028328,-0.2115431513674187,0.21154315136741855,0.0009424118770694953,0.0007939467756342995,0.0011974293090237847,0.001386534620357539,0.20000000298023224,0.0,0.0,0.0,7.48,7.05
82,shutdown,takeover,4.848816459431955,-2.1203418564723684,-0.28316677018226943,0.97681858602659,4.2163704210116556e-07,1.3362390491730978,-1.3362390491730978,-2.2934969187371896,2.29349691873719,0.0003427607178639855,0.00013575099095955844,8.356503419971063e-06,4.096716987755049e-05,0.0,0.0,0.0,0.0,3.57,3.71
83,police,fire,1.21691217534086,-1.2197195780699432,-1.3149546995326546,1.744932081381461,1.260464188948425e-07,0.24779112484415314,-0.2477911248441533,-0.4952815874489208,0.4952815874489208,0.0004855416642293532,0.00040891584693274565,0.00023239724166229872,0.00032758618865185205,0.0,0.0,0.0,0.0,4.59,4.32
84,americans,hoosiers,12.267191834598295,-9.922081799105346,-0.17793185679111095,1.6913250221351774,4.119514993198796e-06,0.39146810353058276,-0.3914681035305828,-4.069328872510891,4.069328872510891,0.002931980079248468,0.0022352050694076074,2.305242322750638e-06,3.8699614349272785e-05,0.0,0.0,0.0,0.0,,
85,delta,lake,0.8559519759438983,-0.6133983183237423,-0.5949026381975173,0.7791695862658831,3.3511379580211474e-08,0.8713599315476936,-0.8713599315476936,-0.6657413939755844,0.6657413939755844,9.955765281379318e-05,5.4421332678664855e-05,7.232697787630127e-05,0.00011473830973085174,0.10000000149011612,0.20000000298023224,0.0,0.0,5.3,7.13
86,region,area,0.5079747954354542,-0.623027515060189,-1.2379394934050696,1.3210455935620642,6.459909796174308e-08,0.1721577526545379,-0.17215775265453775,-0.20661535716492804,0.20661535716492804,0.0003159622758620093,0.00028042103366367584,0.0005224255413933634,0.0006028674297847652,0.0,0.0,0.0,0.0,5.21,5.56
87,taking,takes,0.3938870620594745,-0.5476114107840734,-0.992451061093595,1.0844580522231575,4.2872450863842005e-08,0.07491131559583548,-0.07491131559583544,-0.28252550939426196,0.28252550939426185,0.0005845230064624587,0.0005549464229538297,0.000301266356054474,0.00036643697336967673,0.10000000149011612,0.0,0.0,0.0,4.82,4.82
88,enable,encourage,0.5665776936136648,-0.5143067217512579,-2.199141874928388,3.3856075111448916,2.651494372513879e-07,0.6322092050596448,-0.632209205059645,-0.6429582824244592,0.6429582824244591,9.465901287794809e-05,6.107282889494612e-05,0.0003068853842161787,0.0004792100683093544,0.10000000149011612,0.30000001192092896,0.0,0.0,5.13,7.16
