,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,age,gender,party,party_identity,political_engagement,education,voted,political_bubble,atn,pair0,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25
67,3.0,1.0,2,1,4,3,2,1,3,1,1,2,3.0,1.0,3.0,4,1,3,2,3,1,4,3,4,4.0,1,38,Female,Republican,-2.0,-1,4,0.0,8.0,ATTENTION,complete,wealth,employees,give,values,assault,acknowledge,fear,answer,profit,possibly,happy,monetary,kinds,end,illegal,talked,reforms,mother,responsibility,barriers,indicated,excessive,conversation,preserve,basic
68,5.0,0.0,2,4,4,1,3,0,4,4,4,3,5.0,1.0,4.0,5,1,1,1,4,0,4,1,2,4.0,2,28,Male,Independent,1.0,2,5,1.0,40.0,ATTENTION,complete,wealth,workers,contribute,values,assault,recognize,fear,respond,gain,possibly,happy,financial,types,end,illegal,spoke,changes,mother,duty,barriers,indicated,outrageous,conversation,maintain,fundamental
69,1.0,5.0,1,0,4,5,2,5,2,5,2,2,4.0,4.0,3.0,5,4,1,2,4,5,2,5,1,2.0,1,24,Female,Democrat,2.0,3,6,1.0,94.0,ATTENTION,comprehensive,prosperity,employees,contribute,values,attack,acknowledge,fear,answer,gain,possibly,glad,monetary,types,finish,criminal,talked,reforms,mom,duty,walls,indicated,excessive,discussion,maintain,basic
70,3.0,1.0,2,1,4,5,4,4,4,3,1,2,1.0,3.0,1.0,5,2,3,3,4,1,4,5,2,1.0,4,38,Male,Democrat,-1.0,-3,2,1.0,20.0,ATTENTION,comprehensive,prosperity,workers,contribute,principles,attack,recognize,terror,respond,gain,potentially,glad,financial,types,finish,criminal,spoke,changes,mom,duty,walls,announced,outrageous,discussion,maintain,fundamental
71,2.0,1.0,4,2,4,1,2,4,3,3,2,2,3.0,2.0,2.0,3,2,2,1,3,1,2,2,2,3.0,2,27,Male,Republican,2.0,2,3,1.0,40.0,ATTENTION,comprehensive,wealth,workers,give,principles,assault,acknowledge,terror,answer,profit,potentially,glad,financial,types,finish,criminal,spoke,changes,mother,responsibility,barriers,indicated,outrageous,discussion,preserve,basic
72,4.0,5.0,1,2,5,0,5,4,4,5,2,2,5.0,4.0,3.0,4,2,1,1,1,0,2,0,3,5.0,5,45,Male,Republican,3.0,0,4,1.0,50.0,ATTENTION,complete,prosperity,workers,give,principles,assault,recognize,terror,answer,profit,potentially,glad,financial,kinds,end,illegal,spoke,changes,mother,responsibility,walls,announced,outrageous,conversation,maintain,fundamental
73,2.0,4.0,1,1,4,5,1,4,1,3,2,4,1.0,4.0,2.0,4,1,3,1,1,5,3,4,2,2.0,4,31,Female,Democrat,0.0,-1,4,1.0,41.0,ATTENTION,complete,prosperity,employees,give,values,assault,recognize,terror,respond,gain,possibly,happy,financial,kinds,finish,criminal,spoke,changes,mother,duty,walls,announced,outrageous,conversation,preserve,basic
74,2.0,5.0,3,4,5,4,2,4,3,4,2,3,5.0,4.0,4.0,3,2,2,3,4,1,4,4,2,4.0,3,31,Male,Independent,-2.0,-2,3,0.0,50.0,ATTENTION,comprehensive,wealth,employees,contribute,principles,attack,acknowledge,fear,answer,gain,possibly,happy,monetary,kinds,end,illegal,spoke,reforms,mom,duty,barriers,indicated,excessive,conversation,preserve,basic
75,2.0,4.0,1,1,2,4,2,4,1,4,2,2,3.0,3.0,,4,1,1,3,4,5,3,3,1,3.0,4,63,Female,Democrat,3.0,1,2,1.0,89.0,ATTENTION,complete,prosperity,employees,contribute,values,attack,recognize,fear,respond,gain,possibly,happy,monetary,kinds,end,illegal,talked,reforms,mom,duty,walls,announced,excessive,conversation,maintain,fundamental
76,2.0,1.0,1,2,2,3,2,4,2,2,2,3,3.0,2.0,4.0,4,2,3,2,2,4,3,5,2,4.0,1,29,Male,Democrat,2.0,2,4,0.0,90.0,Yes. ATTENTION,comprehensive,wealth,employees,contribute,principles,attack,acknowledge,fear,respond,gain,possibly,glad,monetary,types,end,criminal,talked,reforms,mom,responsibility,barriers,indicated,excessive,discussion,maintain,basic
78,2.0,4.0,1,1,3,4,2,5,1,4,2,1,4.0,2.0,2.0,5,3,1,1,4,4,2,4,1,4.0,3,32,Female,Democrat,3.0,1,4,1.0,20.0,ATTENTION,complete,wealth,workers,contribute,values,attack,recognize,terror,respond,gain,possibly,glad,monetary,types,finish,criminal,talked,changes,mom,duty,barriers,indicated,excessive,discussion,maintain,fundamental
79,2.0,4.0,1,1,4,2,1,4,3,1,1,0,4.0,1.0,4.0,4,1,1,1,4,4,3,1,1,1.0,1,48,Male,Democrat,2.0,-1,4,1.0,98.0,ATTENTION,complete,prosperity,employees,give,principles,assault,recognize,terror,respond,gain,possibly,glad,financial,types,end,illegal,spoke,reforms,mother,duty,walls,indicated,excessive,conversation,preserve,basic
80,3.0,3.0,2,1,3,2,3,2,3,4,2,3,4.0,1.0,3.0,3,2,2,1,4,4,3,2,3,2.0,2,29,Female,Independent,-3.0,-3,3,0.0,10.0,ATTENTION,comprehensive,prosperity,employees,give,principles,assault,acknowledge,fear,answer,profit,potentially,happy,financial,kinds,end,illegal,spoke,reforms,mother,responsibility,walls,announced,outrageous,conversation,preserve,basic
81,3.0,2.0,2,2,3,3,2,2,3,2,2,3,3.0,3.0,3.0,3,2,3,2,3,3,2,2,2,3.0,3,39,Female,Independent,0.0,-2,4,0.0,50.0,ATTENTION,complete,wealth,workers,contribute,principles,attack,acknowledge,fear,answer,profit,potentially,happy,monetary,kinds,finish,criminal,talked,changes,mom,responsibility,barriers,announced,outrageous,discussion,maintain,fundamental
82,3.0,2.0,3,2,3,1,2,4,3,1,2,2,2.0,3.0,3.0,4,2,1,4,4,3,1,1,2,4.0,4,28,Male,Democrat,3.0,3,3,1.0,87.0,"Yes, I was paying ATTENTION to the survey.",complete,wealth,employees,contribute,values,assault,acknowledge,terror,respond,profit,possibly,glad,financial,types,end,illegal,spoke,changes,mom,duty,walls,indicated,excessive,conversation,maintain,fundamental
83,3.0,3.0,1,1,1,3,2,4,2,2,2,2,4.0,2.0,3.0,2,3,2,1,3,4,3,4,2,2.0,2,43,Female,Independent,0.0,0,4,,10.0,ATTENTION,comprehensive,prosperity,workers,give,principles,attack,recognize,fear,answer,gain,potentially,happy,monetary,kinds,finish,criminal,talked,reforms,mother,responsibility,barriers,announced,outrageous,discussion,maintain,basic
84,2.0,4.0,3,2,4,3,2,3,2,3,3,2,3.0,2.0,3.0,4,2,1,2,3,2,2,4,2,3.0,1,57,Male,Democrat,-1.0,-1,2,1.0,80.0,ATTENTION,comprehensive,prosperity,workers,contribute,values,assault,acknowledge,fear,answer,gain,possibly,happy,monetary,kinds,finish,criminal,talked,reforms,mom,responsibility,barriers,announced,excessive,conversation,maintain,basic
85,2.0,5.0,2,1,1,4,2,4,3,5,2,1,4.0,2.0,3.0,4,2,1,2,3,5,4,3,0,2.0,4,47,Male,Democrat,2.0,1,4,1.0,90.0,ATTENTION,comprehensive,wealth,employees,give,values,attack,recognize,terror,respond,profit,potentially,glad,financial,types,end,illegal,spoke,changes,mother,duty,walls,indicated,outrageous,discussion,preserve,fundamental
86,2.0,2.0,3,3,2,3,2,3,2,3,2,3,3.0,2.0,3.0,3,2,1,2,3,3,2,3,2,2.0,2,35,Male,Independent,0.0,0,1,1.0,25.0,ATTENTION,comprehensive,prosperity,workers,contribute,values,assault,acknowledge,terror,respond,profit,potentially,happy,monetary,types,end,illegal,spoke,changes,mom,responsibility,barriers,announced,excessive,discussion,preserve,basic
87,5.0,5.0,4,1,5,1,4,0,2,4,1,4,4.0,3.0,4.0,5,1,1,1,4,4,5,0,1,,4,67,Female,Independent,0.0,1,3,1.0,69.0,YES ATTENTION,complete,prosperity,workers,give,values,assault,recognize,terror,respond,profit,potentially,glad,financial,types,finish,criminal,talked,changes,mother,responsibility,walls,announced,outrageous,discussion,maintain,fundamental
88,3.0,4.0,3,3,1,2,2,1,2,4,3,2,4.0,2.0,3.0,3,4,4,2,4,4,2,3,1,4.0,2,28,Other (please specify),Republican,-1.0,-1,2,1.0,35.0,ATTENTION,complete,prosperity,employees,give,principles,assault,acknowledge,fear,respond,gain,potentially,glad,financial,kinds,end,criminal,spoke,reforms,mother,duty,barriers,indicated,excessive,conversation,preserve,basic
89,4.0,4.0,2,2,2,3,3,2,2,4,2,1,4.0,2.0,3.0,4,2,3,1,3,4,3,4,2,3.0,3,38,Female,Independent,-3.0,-3,4,0.0,50.0,ATTENTION,comprehensive,wealth,workers,contribute,values,attack,recognize,terror,answer,profit,possibly,happy,monetary,types,finish,illegal,talked,changes,mom,responsibility,walls,announced,outrageous,discussion,maintain,fundamental
90,5.0,1.0,4,3,5,1,4,0,4,4,2,5,4.0,1.0,1.0,5,4,0,4,5,0,5,0,4,2.0,5,51,Male,Republican,3.0,1,2,1.0,0.0,ATTENTION,complete,wealth,employees,give,principles,attack,recognize,fear,answer,gain,possibly,glad,financial,kinds,finish,criminal,talked,reforms,mother,duty,walls,indicated,outrageous,conversation,preserve,fundamental
91,1.0,4.0,3,1,3,4,2,4,1,2,2,1,4.0,1.0,2.0,4,2,1,2,4,4,3,3,2,4.0,1,54,Female,Democrat,3.0,2,5,1.0,80.0,ATTENTION,complete,prosperity,employees,contribute,principles,assault,recognize,fear,respond,profit,possibly,glad,monetary,kinds,end,criminal,spoke,changes,mom,responsibility,barriers,announced,excessive,conversation,maintain,basic
92,3.0,5.0,0,1,3,5,1,5,2,3,2,1,5.0,2.0,2.0,5,2,5,2,3,5,2,1,0,0.0,4,44,Male,Democrat,3.0,1,1,1.0,78.0,ATTENTION,comprehensive,wealth,workers,give,values,attack,acknowledge,terror,answer,gain,potentially,happy,financial,types,finish,illegal,talked,reforms,mother,duty,walls,indicated,outrageous,discussion,preserve,fundamental
93,4.0,3.0,3,4,2,2,0,5,2,4,1,0,2.0,1.0,2.0,4,3,2,4,1,4,2,4,1,4.0,2,33,Male,Republican,1.0,1,4,1.0,71.0,ATTENTION,comprehensive,prosperity,workers,give,principles,assault,recognize,fear,respond,profit,possibly,happy,financial,types,finish,illegal,talked,reforms,mom,duty,walls,announced,excessive,conversation,maintain,fundamental
94,2.0,4.0,2,1,3,1,2,3,4,4,1,2,3.0,3.0,1.0,5,4,0,3,5,0,1,4,3,4.0,3,56,Female,Republican,-1.0,-2,1,1.0,50.0,ATTENTION,complete,wealth,employees,contribute,values,attack,acknowledge,terror,answer,gain,potentially,glad,monetary,kinds,end,criminal,spoke,changes,mother,responsibility,barriers,indicated,outrageous,discussion,preserve,basic
95,2.0,3.0,2,0,4,4,1,4,2,3,2,3,4.0,3.0,3.0,4,2,1,4,4,4,2,0,1,0.0,0,35,Male,Democrat,3.0,3,4,1.0,25.0,ATTENTION,comprehensive,prosperity,employees,contribute,values,attack,acknowledge,terror,respond,gain,possibly,glad,monetary,types,end,illegal,talked,reforms,mom,duty,walls,indicated,excessive,discussion,preserve,basic
96,3.0,4.0,1,3,4,3,2,3,2,4,2,2,3.0,3.0,2.0,3,2,2,2,3,2,2,4,2,3.0,2,39,Male,Independent,2.0,-1,1,0.0,45.0,ATTENTION,complete,prosperity,workers,contribute,values,assault,recognize,fear,respond,profit,potentially,glad,monetary,kinds,finish,illegal,talked,reforms,mother,responsibility,barriers,indicated,excessive,discussion,preserve,basic
97,1.0,5.0,4,0,1,2,1,4,2,5,1,1,4.0,2.0,3.0,1,2,0,1,1,4,1,5,1,1.0,1,43,Female,Democrat,1.0,1,2,1.0,81.0,ATTENTION,complete,wealth,workers,give,principles,assault,recognize,fear,answer,profit,potentially,happy,financial,kinds,finish,criminal,spoke,changes,mother,responsibility,barriers,announced,outrageous,conversation,maintain,fundamental
100,1.0,2.0,2,0,0,4,1,4,2,2,3,1,1.0,1.0,1.0,4,2,2,1,2,1,1,2,2,1.0,1,48,Female,Democrat,1.0,1,2,1.0,74.0,ATTENTION,comprehensive,prosperity,employees,give,values,attack,recognize,terror,respond,gain,possibly,happy,financial,types,end,illegal,talked,reforms,mom,responsibility,walls,indicated,excessive,discussion,maintain,fundamental
101,4.0,5.0,1,1,1,4,2,3,4,3,3,3,4.0,3.0,5.0,4,2,0,1,1,5,4,4,0,2.0,1,53,Female,Republican,0.0,-2,4,1.0,91.0,ATTENTION,comprehensive,wealth,employees,give,values,attack,acknowledge,terror,answer,profit,possibly,glad,monetary,kinds,end,illegal,spoke,reforms,mom,duty,walls,indicated,excessive,discussion,preserve,basic
102,3.0,3.0,2,1,3,3,2,1,2,2,2,2,3.0,2.0,1.0,4,2,2,2,3,1,1,3,2,3.0,3,55,Male,Republican,-3.0,-3,4,0.0,62.0,ATTENTION,complete,prosperity,workers,contribute,principles,assault,recognize,fear,respond,gain,potentially,happy,financial,types,finish,criminal,talked,changes,mother,responsibility,barriers,announced,outrageous,conversation,maintain,fundamental
103,3.0,5.0,4,1,4,1,2,1,4,4,2,2,4.0,2.0,3.0,3,2,4,2,4,4,1,3,2,1.0,4,26,Male,Independent,3.0,1,2,1.0,20.0,ATTENTION,complete,prosperity,workers,give,values,assault,recognize,terror,answer,profit,possibly,glad,monetary,types,end,illegal,spoke,reforms,mother,responsibility,barriers,announced,outrageous,conversation,preserve,fundamental
104,3.0,2.0,2,1,4,3,1,4,2,4,2,1,4.0,2.0,3.0,4,2,2,2,3,4,4,1,1,2.0,3,40,Female,Independent,0.0,1,5,1.0,70.0,ATTENTION,comprehensive,prosperity,workers,contribute,principles,assault,recognize,fear,answer,gain,possibly,happy,monetary,kinds,finish,illegal,talked,changes,mother,duty,barriers,announced,excessive,conversation,maintain,fundamental
105,1.0,5.0,0,1,4,2,4,5,0,2,1,0,,1.0,,4,4,4,4,2,5,0,0,1,5.0,0,38,Female,Democrat,2.0,2,4,,98.0,ATTENTION,complete,wealth,employees,give,values,attack,acknowledge,terror,respond,profit,potentially,glad,financial,types,end,criminal,spoke,reforms,mom,responsibility,walls,indicated,outrageous,discussion,preserve,basic
106,3.0,5.0,0,1,3,4,1,5,3,5,2,2,4.0,1.0,4.0,4,1,0,4,4,5,2,3,0,4.0,2,48,Male,Independent,1.0,3,2,1.0,19.0,ATTENTION,complete,wealth,workers,give,values,attack,acknowledge,fear,answer,profit,potentially,glad,financial,types,end,illegal,talked,changes,mother,responsibility,walls,indicated,outrageous,conversation,maintain,basic
107,3.0,4.0,1,2,1,4,3,5,3,3,3,2,4.0,2.0,3.0,4,3,0,3,1,4,2,1,3,4.0,3,33,Male,Republican,0.0,1,4,1.0,70.0,ATTENTION,comprehensive,prosperity,employees,contribute,principles,assault,recognize,terror,respond,gain,possibly,happy,monetary,kinds,finish,criminal,spoke,reforms,mom,duty,barriers,announced,excessive,discussion,preserve,fundamental
108,1.0,4.0,4,2,5,5,0,5,2,4,2,1,2.0,2.0,1.0,5,2,2,4,5,5,1,5,1,1.0,2,30,Male,Independent,1.0,1,2,1.0,90.0,ATTENTION,comprehensive,prosperity,workers,give,values,attack,acknowledge,terror,respond,profit,potentially,happy,financial,kinds,finish,criminal,talked,reforms,mom,duty,walls,indicated,outrageous,discussion,maintain,basic
111,0.0,0.0,2,0,1,2,1,4,2,4,1,2,1.0,3.0,1.0,5,3,2,4,4,5,0,5,2,4.0,3,57,Female,Democrat,3.0,3,1,1.0,60.0,ATTENTION,comprehensive,wealth,employees,contribute,principles,attack,acknowledge,fear,respond,gain,potentially,happy,financial,kinds,finish,criminal,talked,changes,mom,duty,walls,indicated,excessive,discussion,maintain,basic
112,1.0,2.0,2,1,3,3,2,3,2,1,2,3,4.0,2.0,3.0,4,3,4,2,2,3,2,4,2,3.0,3,34,Female,Democrat,-1.0,1,3,1.0,70.0,ATTENTION,comprehensive,wealth,employees,give,values,attack,acknowledge,fear,respond,gain,potentially,glad,monetary,kinds,end,illegal,spoke,reforms,mom,responsibility,walls,announced,excessive,conversation,maintain,fundamental
113,3.0,3.0,3,3,3,3,2,2,3,3,2,2,3.0,2.0,3.0,3,3,2,2,3,2,3,3,3,2.0,2,59,Female,Independent,-1.0,-1,3,1.0,40.0,ATTENTION,complete,prosperity,workers,contribute,principles,assault,recognize,terror,answer,profit,possibly,happy,financial,types,finish,criminal,talked,changes,mother,duty,barriers,indicated,outrageous,discussion,preserve,basic
114,3.0,5.0,1,1,4,1,2,4,3,4,1,4,3.0,2.0,4.0,1,1,0,1,5,1,2,0,1,3.0,4,49,Female,Independent,3.0,-2,3,1.0,31.0,ATTENTION,complete,wealth,workers,give,values,assault,recognize,terror,answer,profit,possibly,glad,monetary,kinds,finish,illegal,talked,reforms,mother,responsibility,barriers,indicated,outrageous,conversation,maintain,fundamental
115,,2.0,2,3,2,3,2,2,3,2,3,2,3.0,3.0,3.0,3,3,2,2,2,4,2,2,2,2.0,2,61,Female,Democrat,0.0,0,3,1.0,50.0,ATTENTION,comprehensive,prosperity,employees,contribute,principles,attack,acknowledge,fear,respond,gain,potentially,happy,financial,types,end,criminal,spoke,changes,mom,duty,walls,announced,excessive,discussion,preserve,basic
116,3.0,0.0,0,0,0,4,0,5,0,0,0,0,0.0,0.0,0.0,5,0,0,0,0,5,0,4,0,0.0,2,34,Female,Independent,2.0,2,3,1.0,80.0,ATTENTION,complete,prosperity,workers,contribute,principles,assault,acknowledge,terror,answer,gain,potentially,happy,monetary,types,finish,illegal,spoke,changes,mom,responsibility,barriers,announced,outrageous,conversation,maintain,fundamental
118,2.0,4.0,1,1,3,3,3,4,3,4,2,2,4.0,2.0,3.0,5,2,1,2,5,3,2,2,1,4.0,4,41,Female,Independent,-1.0,-1,4,1.0,40.0,ATTENTION,complete,prosperity,workers,give,principles,attack,acknowledge,fear,answer,profit,potentially,happy,financial,kinds,finish,illegal,talked,reforms,mother,duty,barriers,announced,excessive,discussion,preserve,fundamental
119,2.0,3.0,0,1,4,5,2,5,2,5,2,2,3.0,3.0,3.0,5,2,1,1,5,4,2,4,2,3.0,2,36,Male,Democrat,1.0,0,1,1.0,71.0,ATTENTION,comprehensive,prosperity,workers,give,values,assault,acknowledge,fear,answer,profit,possibly,glad,financial,types,end,illegal,talked,changes,mother,duty,barriers,indicated,excessive,conversation,maintain,basic
120,2.0,2.0,3,1,1,2,1,4,2,4,4,2,2.0,4.0,3.0,3,3,2,2,1,4,1,4,2,2.0,1,22,Female,Democrat,0.0,-1,4,1.0,60.0,ATTENTION,comprehensive,wealth,employees,contribute,values,assault,recognize,terror,respond,gain,possibly,glad,monetary,types,end,criminal,spoke,changes,mom,responsibility,walls,indicated,outrageous,conversation,maintain,basic
121,3.0,3.0,1,1,4,4,3,4,3,3,2,3,4.0,3.0,3.0,4,3,1,2,3,4,3,1,3,2.0,4,54,Female,Republican,0.0,1,4,1.0,50.0,ATTENTION,complete,wealth,employees,contribute,principles,attack,recognize,terror,respond,gain,potentially,happy,monetary,kinds,finish,criminal,spoke,reforms,mom,responsibility,walls,announced,outrageous,discussion,preserve,fundamental
122,5.0,,1,4,5,1,4,1,5,4,2,2,4.0,1.0,5.0,5,1,5,3,5,5,4,5,2,1.0,5,36,Female,Republican,3.0,0,4,1.0,95.0,ATTENTION,complete,wealth,employees,contribute,values,attack,acknowledge,fear,answer,gain,potentially,happy,monetary,types,finish,criminal,talked,changes,mom,duty,barriers,indicated,outrageous,conversation,maintain,fundamental
124,2.0,2.0,4,1,1,5,1,5,1,5,1,4,4.0,3.0,0.0,5,2,1,3,0,2,1,1,0,4.0,3,31,Female,Independent,1.0,1,2,1.0,83.0,ATTENTION,complete,wealth,workers,contribute,values,attack,recognize,fear,answer,profit,potentially,glad,monetary,kinds,end,illegal,spoke,reforms,mother,responsibility,barriers,indicated,outrageous,conversation,preserve,basic
125,0.0,5.0,0,0,4,4,0,5,5,2,5,1,4.0,2.0,3.0,5,4,2,2,1,5,1,5,4,2.0,5,28,Female,Democrat,3.0,3,1,1.0,100.0,ATTENTION,complete,wealth,workers,contribute,principles,assault,acknowledge,terror,answer,gain,possibly,happy,financial,kinds,end,illegal,talked,changes,mom,duty,walls,announced,outrageous,conversation,maintain,fundamental
126,4.0,1.0,1,1,3,4,1,1,4,4,3,1,4.0,2.0,3.0,4,2,3,3,4,2,4,4,1,4.0,1,58,Female,Democrat,-1.0,-2,1,0.0,72.0,ATTENTION,comprehensive,prosperity,employees,give,values,attack,recognize,fear,respond,profit,potentially,glad,monetary,types,finish,criminal,spoke,reforms,mother,responsibility,barriers,indicated,excessive,discussion,preserve,basic
127,3.0,3.0,3,3,3,2,3,1,2,3,2,2,3.0,3.0,3.0,2,2,1,2,4,3,2,1,2,3.0,3,33,Female,Republican,3.0,1,3,1.0,72.0,ATTENTION,complete,wealth,employees,give,values,attack,acknowledge,fear,respond,profit,potentially,happy,financial,kinds,finish,criminal,talked,changes,mother,responsibility,walls,announced,outrageous,conversation,maintain,fundamental
129,1.0,2.0,5,5,5,0,5,0,3,0,0,4,0.0,5.0,4.0,4,0,0,3,5,5,0,0,5,5.0,0,24,Male,Republican,3.0,3,4,1.0,75.0,ATTENTION,comprehensive,wealth,workers,give,principles,attack,recognize,fear,answer,profit,possibly,glad,financial,kinds,end,criminal,talked,changes,mother,duty,walls,announced,excessive,discussion,maintain,basic
130,1.0,4.0,3,1,1,2,0,2,0,4,2,4,2.0,5.0,4.0,3,4,1,4,0,2,4,0,0,0.0,1,41,Male,Democrat,2.0,3,1,1.0,25.0,"Yes, I gave the survey my full ATTENTION.",comprehensive,wealth,workers,contribute,values,attack,acknowledge,fear,answer,gain,possibly,glad,monetary,kinds,finish,illegal,talked,changes,mom,responsibility,barriers,announced,outrageous,conversation,preserve,basic
131,3.0,5.0,3,0,5,5,3,5,2,3,2,0,4.0,5.0,2.0,2,2,1,2,5,1,2,2,2,5.0,4,61,Female,Democrat,3.0,1,3,1.0,35.0,ATTENTION,complete,prosperity,employees,contribute,values,assault,acknowledge,terror,respond,gain,potentially,happy,monetary,types,finish,illegal,spoke,reforms,mom,responsibility,barriers,indicated,outrageous,conversation,preserve,fundamental
132,2.0,3.0,1,2,4,2,2,4,2,2,1,2,2.0,2.0,3.0,3,2,1,1,2,2,2,1,2,2.0,3,55,Male,Democrat,1.0,2,0,1.0,93.0,ATTENTION,complete,prosperity,workers,give,values,attack,recognize,fear,respond,gain,possibly,glad,financial,kinds,finish,criminal,talked,reforms,mother,responsibility,walls,announced,outrageous,discussion,maintain,fundamental
