,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,age,gender,party,party_identity,political_engagement,education,voted,political_bubble,atn,pair0,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25
133,1.0,0.0,5,0,5,0,5,0,2,1,3,5,3.0,2.0,2.0,4,2,0,4,5,4,3,0,5,4.0,5,45,Male,Republican,3.0,0,3,1.0,50.0,ATTENTION,comprehensive,wealth,employees,contribute,principles,assault,acknowledge,terror,answer,profit,potentially,happy,monetary,types,end,illegal,spoke,changes,mom,duty,barriers,indicated,excessive,conversation,preserve,basic
134,0.0,0.0,3,2,4,5,2,5,1,5,3,2,3.0,4.0,4.0,5,2,1,1,3,5,3,1,0,3.0,5,37,Female,Democrat,1.0,1,1,1.0,89.0,Yes I paid ATTENTION ,comprehensive,prosperity,employees,give,values,assault,recognize,terror,respond,profit,possibly,happy,monetary,kinds,finish,illegal,talked,changes,mother,duty,walls,announced,excessive,discussion,maintain,fundamental
135,3.0,4.0,2,2,2,4,2,5,2,3,2,3,4.0,4.0,5.0,3,2,3,4,1,3,2,5,2,3.0,1,29,Female,Independent,0.0,1,4,1.0,50.0,ATTENTION,complete,wealth,workers,contribute,principles,attack,acknowledge,fear,answer,gain,potentially,glad,financial,types,end,criminal,spoke,reforms,mom,responsibility,barriers,indicated,outrageous,conversation,preserve,basic
136,3.0,1.0,2,2,2,3,3,3,2,3,2,3,3.0,2.0,3.0,4,2,3,2,3,3,2,3,3,2.0,3,69,Female,Republican,2.0,-2,5,1.0,30.0,ATTENTION,comprehensive,wealth,workers,contribute,values,attack,recognize,fear,answer,gain,possibly,glad,financial,types,finish,illegal,talked,reforms,mother,duty,walls,announced,excessive,discussion,preserve,basic
137,2.0,3.0,3,2,3,2,3,2,3,3,3,3,3.0,2.0,1.0,2,2,2,2,3,3,3,3,2,2.0,3,42,Female,Independent,0.0,0,5,0.0,50.0,ATTENTION,complete,prosperity,employees,give,principles,assault,acknowledge,terror,respond,profit,potentially,happy,monetary,kinds,end,criminal,spoke,changes,mom,responsibility,barriers,indicated,outrageous,conversation,maintain,fundamental
138,2.0,3.0,3,1,1,3,1,4,2,3,2,2,2.0,2.0,4.0,4,4,4,3,2,4,2,2,1,2.0,2,40,Female,Democrat,1.0,3,5,1.0,80.0,ATTENTION,comprehensive,wealth,workers,contribute,values,assault,acknowledge,terror,respond,profit,possibly,happy,financial,types,end,illegal,spoke,reforms,mom,responsibility,barriers,indicated,excessive,conversation,preserve,basic
139,2.0,1.0,1,1,0,4,2,5,3,3,3,1,4.0,2.0,2.0,4,3,1,4,5,5,2,1,1,5.0,1,31,Male,Democrat,1.0,3,4,1.0,76.0,ATTENTION,complete,prosperity,employees,give,principles,attack,recognize,fear,answer,gain,potentially,glad,monetary,kinds,finish,criminal,talked,changes,mother,duty,walls,announced,outrageous,discussion,maintain,fundamental
140,3.0,2.0,5,4,5,0,5,0,0,1,4,4,2.0,2.0,0.0,0,1,2,5,3,0,4,0,3,4.0,4,42,Female,Independent,1.0,0,4,1.0,60.0,"Yes, I was paying ATTENTION ",comprehensive,prosperity,workers,contribute,values,assault,acknowledge,fear,answer,profit,potentially,glad,monetary,kinds,finish,illegal,talked,reforms,mom,duty,walls,announced,excessive,conversation,preserve,basic
141,2.0,4.0,0,0,0,5,1,5,1,4,3,1,4.0,4.0,3.0,5,0,3,1,1,5,2,1,1,2.0,4,52,Male,Democrat,3.0,2,4,1.0,81.0,ATTENTION,complete,wealth,employees,give,principles,attack,recognize,terror,respond,gain,possibly,happy,financial,types,end,criminal,spoke,changes,mother,responsibility,barriers,indicated,outrageous,discussion,maintain,fundamental
142,2.0,2.0,2,2,3,3,2,4,2,3,3,3,2.0,1.0,2.0,3,2,2,2,3,1,3,2,2,3.0,2,29,Male,Independent,-3.0,-1,3,1.0,61.0,ATTENTION,comprehensive,prosperity,employees,contribute,principles,attack,recognize,terror,respond,gain,potentially,glad,financial,types,finish,illegal,spoke,changes,mother,duty,barriers,indicated,outrageous,discussion,maintain,basic
144,3.0,4.0,2,3,3,3,3,4,3,4,2,2,3.0,3.0,3.0,3,2,2,3,3,3,2,2,2,3.0,2,43,Male,Republican,0.0,1,4,1.0,40.0,ATTENTION,complete,prosperity,employees,contribute,values,attack,recognize,terror,answer,profit,potentially,glad,financial,types,finish,criminal,spoke,changes,mom,duty,walls,indicated,outrageous,discussion,preserve,basic
146,2.0,4.0,1,2,2,4,2,4,2,4,3,2,4.0,2.0,2.0,3,2,0,2,2,5,3,2,2,1.0,3,40,Female,Democrat,3.0,0,2,1.0,80.0,ATTENTION,comprehensive,wealth,employees,contribute,values,assault,acknowledge,terror,answer,profit,possibly,glad,financial,types,end,criminal,spoke,changes,mother,duty,walls,indicated,excessive,discussion,preserve,basic
147,2.0,3.0,1,1,2,4,2,4,2,2,3,2,3.0,3.0,2.0,4,2,1,4,2,2,2,4,2,1.0,2,37,Male,Democrat,0.0,0,4,1.0,60.0,ATTENTION,complete,prosperity,workers,give,principles,attack,recognize,fear,respond,gain,potentially,happy,monetary,kinds,finish,illegal,talked,reforms,mom,responsibility,barriers,announced,outrageous,conversation,maintain,fundamental
148,1.0,1.0,3,2,1,4,2,3,2,1,3,3,4.0,2.0,2.0,4,2,2,2,1,3,4,3,3,4.0,2,31,Male,Independent,-2.0,0,4,1.0,20.0,ATTENTION,comprehensive,wealth,employees,give,principles,attack,recognize,fear,respond,profit,possibly,happy,financial,types,end,illegal,talked,changes,mom,responsibility,barriers,announced,outrageous,discussion,preserve,basic
149,4.0,2.0,3,0,5,1,4,1,1,5,5,2,4.0,1.0,4.0,1,4,0,2,5,3,5,1,3,4.0,5,26,Female,Democrat,-3.0,-1,3,1.0,48.0,ATTENTION,complete,prosperity,workers,contribute,values,assault,acknowledge,terror,answer,gain,potentially,glad,monetary,kinds,finish,criminal,spoke,reforms,mother,duty,walls,indicated,excessive,conversation,maintain,fundamental
150,1.0,4.0,3,2,5,3,2,0,0,3,1,2,1.0,1.0,1.0,5,1,4,0,4,5,3,4,1,5.0,4,28,Male,Independent,-2.0,-2,1,1.0,48.0,ATTENTION,comprehensive,prosperity,employees,give,values,attack,recognize,fear,respond,profit,possibly,happy,monetary,kinds,finish,illegal,talked,reforms,mom,duty,walls,indicated,excessive,conversation,preserve,fundamental
151,3.0,1.0,4,2,3,1,2,1,2,3,4,3,5.0,3.0,4.0,4,3,1,2,3,1,3,1,3,1.0,3,28,Female,Republican,1.0,1,4,1.0,71.0,ATTENTION yes,complete,wealth,workers,contribute,principles,assault,acknowledge,terror,answer,gain,potentially,glad,financial,types,end,criminal,spoke,changes,mother,responsibility,barriers,announced,outrageous,discussion,maintain,basic
152,4.0,1.0,4,3,4,2,1,4,2,3,4,4,4.0,2.0,3.0,3,4,3,2,0,4,2,1,4,3.0,1,29,Female,Democrat,-2.0,1,3,0.0,51.0,yes i was paying ATTENTION,comprehensive,prosperity,workers,give,principles,assault,recognize,fear,answer,gain,possibly,happy,monetary,kinds,end,illegal,spoke,changes,mom,responsibility,barriers,indicated,outrageous,conversation,maintain,fundamental
153,3.0,1.0,1,2,3,3,2,5,2,1,2,2,2.0,3.0,3.0,4,2,1,3,3,4,3,1,1,3.0,3,24,Female,Democrat,3.0,3,2,1.0,85.0,ATTENTION,complete,wealth,employees,contribute,values,attack,acknowledge,terror,respond,profit,potentially,glad,financial,types,finish,criminal,talked,reforms,mother,duty,walls,announced,excessive,discussion,preserve,basic
154,3.0,3.0,3,2,2,3,3,3,3,3,2,2,3.0,2.0,3.0,3,2,2,2,2,3,3,3,2,3.0,3,25,Male,Independent,0.0,1,5,1.0,67.0,ATTENTION,comprehensive,wealth,workers,give,principles,assault,acknowledge,terror,respond,gain,possibly,glad,financial,kinds,end,criminal,spoke,changes,mom,responsibility,barriers,indicated,outrageous,discussion,preserve,fundamental
155,1.0,3.0,1,0,0,5,3,5,1,5,3,1,5.0,1.0,3.0,5,4,0,0,3,5,3,5,1,3.0,1,42,Male,Democrat,2.0,-1,4,1.0,90.0,ATTENTION,complete,prosperity,employees,contribute,values,attack,recognize,fear,answer,profit,potentially,happy,monetary,types,finish,illegal,talked,reforms,mother,duty,walls,announced,excessive,conversation,maintain,basic
156,4.0,2.0,3,3,4,4,3,4,3,2,3,2,3.0,1.0,4.0,4,3,2,1,5,1,1,4,4,4.0,2,34,Male,Republican,0.0,0,3,1.0,80.0,I paid ATTENTION,complete,prosperity,employees,contribute,values,assault,acknowledge,terror,answer,profit,potentially,happy,monetary,kinds,end,criminal,spoke,changes,mom,duty,barriers,announced,excessive,discussion,preserve,basic
157,2.0,3.0,2,2,2,3,2,3,2,2,3,2,2.0,,2.0,4,2,3,2,2,4,2,3,2,2.0,2,32,Female,Democrat,0.0,1,4,1.0,50.0,ATTENTION,comprehensive,wealth,workers,give,principles,attack,recognize,fear,respond,gain,possibly,glad,financial,types,finish,illegal,talked,reforms,mother,responsibility,walls,indicated,outrageous,conversation,maintain,fundamental
158,2.0,2.0,3,3,4,5,1,5,3,2,3,2,4.0,3.0,4.0,4,3,1,2,3,5,3,4,2,1.0,3,35,Female,Independent,0.0,0,5,1.0,10.0,ATTENTION,comprehensive,prosperity,employees,contribute,principles,assault,recognize,fear,answer,gain,possibly,glad,monetary,kinds,end,criminal,talked,changes,mom,duty,walls,announced,outrageous,conversation,preserve,basic
159,4.0,2.0,2,0,0,4,4,5,1,1,3,2,4.0,4.0,4.0,4,3,1,2,1,4,4,5,0,1.0,0,72,Female,Republican,0.0,2,6,1.0,39.0,ATTENTION,complete,wealth,workers,give,values,attack,acknowledge,terror,respond,profit,potentially,happy,financial,types,finish,illegal,spoke,reforms,mother,responsibility,barriers,indicated,excessive,discussion,maintain,fundamental
161,2.0,4.0,2,4,5,4,3,4,2,4,3,2,3.0,3.0,3.0,4,2,4,3,4,2,3,2,1,2.0,1,33,Female,Republican,3.0,1,1,1.0,91.0,ATTENTION,complete,prosperity,workers,contribute,principles,attack,recognize,terror,answer,profit,possibly,glad,financial,kinds,finish,illegal,talked,reforms,mother,duty,barriers,announced,outrageous,discussion,maintain,basic
162,1.0,4.0,2,4,4,4,3,3,3,3,4,2,3.0,3.0,3.0,5,4,2,3,1,1,2,4,1,3.0,1,46,Female,Democrat,-1.0,0,4,,80.0,ATTENTION,comprehensive,wealth,employees,give,values,assault,acknowledge,fear,respond,profit,possibly,happy,financial,kinds,end,criminal,talked,changes,mom,responsibility,barriers,announced,outrageous,conversation,preserve,basic
163,2.0,2.0,3,3,4,4,2,4,2,3,2,2,3.0,4.0,2.0,4,2,1,3,4,4,2,3,2,1.0,4,40,Male,Democrat,-2.0,-2,2,0.0,75.0,ATTENTION,complete,prosperity,workers,contribute,principles,attack,recognize,terror,answer,gain,potentially,glad,monetary,types,finish,illegal,spoke,reforms,mother,duty,walls,indicated,excessive,discussion,maintain,fundamental
166,3.0,2.0,4,1,4,2,4,2,4,3,1,4,3.0,2.0,2.0,4,1,4,4,4,4,2,1,3,3.0,4,59,Female,Republican,3.0,1,3,1.0,73.0,ATTENTION,comprehensive,prosperity,employees,give,values,attack,acknowledge,terror,answer,profit,possibly,happy,monetary,kinds,finish,illegal,talked,reforms,mother,duty,walls,announced,excessive,discussion,preserve,basic
168,4.0,5.0,4,4,5,1,4,3,3,5,4,5,5.0,1.0,4.0,4,3,3,4,3,5,3,3,3,4.0,4,37,Male,Republican,3.0,3,5,1.0,92.0,ATTENTION,complete,prosperity,workers,give,values,assault,acknowledge,terror,answer,profit,possibly,happy,financial,types,finish,criminal,talked,reforms,mother,duty,walls,announced,excessive,conversation,preserve,fundamental
169,3.0,3.0,2,3,3,2,3,2,3,3,3,3,3.0,3.0,3.0,3,3,2,3,3,2,3,2,2,3.0,2,32,Male,Republican,0.0,-1,1,1.0,75.0,ATTENTION,comprehensive,wealth,employees,contribute,principles,attack,recognize,fear,respond,gain,potentially,glad,monetary,kinds,end,illegal,spoke,changes,mom,responsibility,barriers,indicated,outrageous,discussion,maintain,basic
170,4.0,4.0,3,2,1,4,1,4,4,3,1,4,3.0,2.0,2.0,2,3,0,2,1,3,1,5,2,1.0,3,30,Male,Democrat,0.0,-2,1,0.0,33.0,ATTENTION,comprehensive,wealth,employees,give,values,attack,recognize,fear,answer,gain,possibly,glad,monetary,kinds,finish,illegal,talked,changes,mom,duty,barriers,announced,outrageous,conversation,preserve,fundamental
172,5.0,4.0,1,1,0,4,2,4,2,3,2,2,4.0,2.0,2.0,4,2,0,1,4,1,2,1,0,1.0,1,50,Male,Democrat,0.0,1,4,1.0,60.0,ATTENTION,comprehensive,prosperity,employees,give,principles,attack,acknowledge,terror,answer,gain,possibly,glad,monetary,types,finish,illegal,talked,reforms,mother,duty,barriers,announced,outrageous,conversation,preserve,basic
173,2.0,3.0,1,1,3,3,2,4,3,4,2,2,4.0,2.0,3.0,4,2,1,3,4,4,2,4,2,4.0,2,32,Male,Democrat,2.0,2,4,1.0,71.0,"Yes, I paid ATTENTION",complete,wealth,workers,contribute,values,assault,recognize,fear,respond,profit,potentially,happy,financial,kinds,end,criminal,spoke,changes,mom,responsibility,walls,indicated,excessive,discussion,maintain,fundamental
174,4.0,2.0,1,4,4,4,4,4,5,0,3,3,4.0,0.0,1.0,5,1,3,5,2,1,0,0,4,3.0,0,34,Male,Independent,3.0,3,4,1.0,30.0,ATTENTION,complete,prosperity,workers,give,values,assault,recognize,terror,respond,profit,potentially,glad,financial,types,end,illegal,talked,reforms,mother,duty,barriers,indicated,outrageous,discussion,preserve,fundamental
176,4.0,0.0,3,1,5,0,4,5,2,3,2,2,3.0,3.0,4.0,4,3,1,3,2,4,2,0,2,4.0,2,34,Male,Republican,1.0,0,2,1.0,60.0,ATTENTION,comprehensive,wealth,employees,give,values,attack,recognize,terror,answer,gain,possibly,glad,financial,kinds,finish,illegal,spoke,changes,mother,responsibility,walls,indicated,outrageous,discussion,maintain,fundamental
177,3.0,4.0,1,3,3,3,2,2,2,2,2,3,3.0,3.0,2.0,4,4,1,2,2,3,3,3,2,4.0,1,37,Female,Republican,0.0,0,6,1.0,70.0,ATTENTION,complete,prosperity,workers,contribute,principles,assault,acknowledge,fear,respond,profit,potentially,happy,monetary,types,end,criminal,talked,reforms,mom,duty,barriers,announced,excessive,conversation,preserve,basic
178,4.0,4.0,4,4,5,4,4,1,4,1,2,4,2.0,4.0,5.0,4,4,0,1,4,3,1,1,5,5.0,5,32,Male,Republican,-1.0,-2,4,1.0,40.0,ATTENTION,comprehensive,prosperity,employees,give,principles,attack,acknowledge,fear,answer,profit,potentially,happy,monetary,types,end,illegal,spoke,changes,mom,duty,walls,announced,outrageous,conversation,maintain,fundamental
180,5.0,5.0,5,5,0,1,5,5,5,5,0,0,3.0,4.0,5.0,1,4,5,1,5,5,4,0,4,5.0,1,56,Female,Republican,-2.0,2,3,1.0,92.0,ATTENTION,complete,wealth,workers,contribute,values,assault,recognize,terror,respond,gain,possibly,glad,financial,kinds,finish,criminal,talked,reforms,mother,responsibility,barriers,indicated,excessive,discussion,preserve,basic
181,2.0,1.0,5,3,3,4,1,3,4,1,4,5,5.0,1.0,3.0,5,4,1,0,4,5,1,5,2,1.0,1,44,Male,Independent,1.0,1,4,1.0,51.0,ATTENTION,complete,prosperity,workers,contribute,principles,attack,acknowledge,terror,respond,gain,potentially,glad,monetary,kinds,finish,illegal,talked,changes,mom,responsibility,barriers,announced,excessive,discussion,maintain,basic
182,3.0,4.0,1,1,4,2,2,4,2,3,2,3,3.0,3.0,2.0,3,2,1,3,4,1,3,3,2,3.0,3,35,Male,Independent,0.0,-3,1,0.0,2.0,ATTENTION ,comprehensive,prosperity,workers,give,values,assault,recognize,terror,answer,gain,possibly,glad,financial,types,end,criminal,talked,reforms,mom,responsibility,walls,announced,excessive,conversation,maintain,fundamental
183,1.0,5.0,2,1,1,5,0,4,1,5,4,0,5.0,4.0,3.0,4,2,1,1,5,2,4,4,0,5.0,2,30,Male,Democrat,-3.0,-3,5,0.0,80.0,ATTENTION,complete,wealth,employees,contribute,principles,attack,acknowledge,fear,respond,profit,potentially,happy,monetary,kinds,finish,illegal,spoke,changes,mother,duty,barriers,indicated,outrageous,discussion,preserve,basic
184,4.0,1.0,4,3,1,4,4,5,3,2,4,4,4.0,4.0,5.0,4,3,4,1,3,5,4,1,4,1.0,5,35,Male,Democrat,-2.0,-1,5,0.0,32.0,ATTENTION,comprehensive,wealth,employees,contribute,principles,attack,recognize,terror,answer,gain,potentially,glad,financial,types,end,illegal,talked,reforms,mother,duty,walls,indicated,excessive,conversation,preserve,fundamental
185,2.0,2.0,1,1,1,1,4,1,2,2,2,1,1.0,2.0,1.0,1,3,0,2,0,4,1,2,1,1.0,0,25,Male,Democrat,1.0,-2,2,1.0,39.0,ATTENTION,complete,prosperity,workers,give,values,assault,acknowledge,fear,respond,profit,possibly,happy,monetary,kinds,finish,criminal,spoke,changes,mom,responsibility,barriers,announced,outrageous,discussion,maintain,basic
186,2.0,0.0,0,0,3,5,1,5,2,1,2,3,0.0,4.0,2.0,5,2,2,0,1,5,2,0,1,3.0,5,34,Female,Democrat,3.0,2,4,1.0,47.0,ATTENTION!,comprehensive,wealth,workers,give,principles,attack,acknowledge,fear,respond,profit,potentially,glad,financial,kinds,finish,criminal,talked,reforms,mother,responsibility,walls,announced,excessive,discussion,maintain,fundamental
188,2.0,5.0,2,0,1,4,2,2,4,4,1,1,5.0,4.0,4.0,3,2,1,4,4,4,2,4,1,2.0,3,60,Female,Independent,-1.0,0,4,0.0,39.0,ATTENTION,comprehensive,wealth,employees,contribute,values,attack,recognize,fear,answer,profit,potentially,happy,financial,types,end,criminal,talked,reforms,mom,duty,barriers,announced,excessive,discussion,preserve,fundamental
189,3.0,3.0,2,2,3,3,3,3,3,3,2,2,3.0,2.0,3.0,4,3,1,2,3,2,3,2,2,4.0,2,63,Male,Independent,0.0,-1,4,0.0,13.0,ATTENTION,complete,prosperity,workers,give,principles,assault,acknowledge,terror,respond,gain,possibly,glad,monetary,kinds,finish,illegal,spoke,changes,mother,responsibility,walls,indicated,outrageous,conversation,maintain,basic
190,1.0,4.0,4,1,4,5,1,4,0,2,1,1,3.0,1.0,1.0,4,1,4,2,3,5,4,5,1,5.0,4,65,Female,Democrat,3.0,2,1,1.0,84.0,Yes I was. ATTENTION,complete,prosperity,employees,give,values,attack,acknowledge,fear,answer,gain,possibly,happy,monetary,types,end,criminal,spoke,reforms,mom,duty,barriers,announced,excessive,discussion,preserve,fundamental
191,3.0,1.0,3,3,4,1,2,4,3,3,3,3,3.0,3.0,3.0,4,3,2,3,4,2,3,1,2,2.0,3,46,Female,Republican,2.0,-1,4,1.0,92.0,"YES, I WAS PAYING ATTENTION",comprehensive,wealth,workers,contribute,principles,assault,recognize,terror,respond,profit,potentially,glad,financial,kinds,finish,illegal,talked,changes,mother,responsibility,walls,indicated,outrageous,conversation,maintain,basic
192,4.0,0.0,3,1,1,4,1,2,2,3,4,4,2.0,3.0,4.0,4,3,1,4,3,3,2,0,3,5.0,1,24,Male,Republican,-1.0,-2,4,1.0,55.0,ATTENTION,complete,wealth,employees,give,principles,assault,recognize,fear,answer,gain,potentially,happy,monetary,kinds,end,criminal,talked,changes,mom,duty,walls,announced,outrageous,discussion,maintain,fundamental
193,1.0,2.0,3,3,4,1,3,1,3,4,1,2,3.0,1.0,3.0,4,3,3,2,4,3,3,2,2,4.0,1,31,Male,Republican,1.0,2,4,1.0,65.0,ATTENTION,comprehensive,prosperity,workers,contribute,values,attack,acknowledge,terror,respond,profit,possibly,glad,financial,types,finish,illegal,spoke,reforms,mother,responsibility,barriers,indicated,excessive,conversation,preserve,basic
194,4.0,4.0,2,1,4,1,3,3,1,0,4,4,3.0,1.0,4.0,3,1,0,5,2,4,3,1,4,3.0,4,42,Male,Republican,2.0,3,4,1.0,60.0,ATTENTION,comprehensive,prosperity,employees,give,principles,assault,recognize,terror,answer,profit,potentially,glad,monetary,kinds,end,criminal,spoke,changes,mom,duty,barriers,indicated,outrageous,discussion,preserve,basic
195,1.0,3.0,4,1,0,3,2,1,2,1,3,4,4.0,2.0,2.0,5,3,3,1,4,4,2,5,2,2.0,1,39,Male,Republican,1.0,0,5,1.0,25.0,ATTENTION,complete,wealth,workers,contribute,values,attack,acknowledge,fear,respond,gain,possibly,happy,financial,types,finish,illegal,talked,reforms,mother,responsibility,walls,announced,excessive,conversation,maintain,fundamental
196,4.0,4.0,1,0,5,1,2,0,3,2,2,3,3.0,3.0,2.0,2,3,3,2,4,0,3,0,2,4.0,3,48,Male,Republican,2.0,-2,4,1.0,25.0,ATTENTION,comprehensive,prosperity,workers,give,values,attack,acknowledge,fear,answer,profit,possibly,glad,financial,types,end,criminal,spoke,reforms,mom,duty,walls,indicated,outrageous,conversation,maintain,fundamental
197,4.0,5.0,0,1,5,4,1,5,1,5,4,3,4.0,0.0,4.0,5,4,4,5,5,1,0,5,0,5.0,0,45,Female,Independent,0.0,1,4,1.0,80.0,ATTENTION,complete,wealth,employees,contribute,principles,assault,recognize,terror,respond,gain,potentially,happy,monetary,kinds,finish,illegal,talked,changes,mother,responsibility,barriers,announced,excessive,discussion,preserve,basic
199,2.0,5.0,1,2,1,5,4,0,3,4,3,3,3.0,1.0,1.0,5,1,3,3,0,0,3,4,4,0.0,3,24,Male,Republican,-1.0,1,4,1.0,65.0,ATTENTION,comprehensive,wealth,employees,contribute,principles,attack,acknowledge,fear,respond,gain,potentially,happy,financial,kinds,end,illegal,spoke,changes,mom,responsibility,barriers,announced,excessive,conversation,preserve,basic
200,3.0,1.0,1,2,3,4,3,1,2,2,2,2,3.0,2.0,3.0,4,3,1,3,3,2,3,2,2,3.0,3,57,Male,Democrat,0.0,0,4,1.0,71.0,ATTENTION,complete,wealth,employees,contribute,principles,assault,recognize,fear,respond,profit,potentially,happy,financial,kinds,end,criminal,spoke,reforms,mother,responsibility,barriers,announced,outrageous,conversation,maintain,fundamental
201,2.0,3.0,1,1,4,4,3,4,1,2,2,2,3.0,3.0,3.0,4,2,1,3,4,5,2,1,0,4.0,1,44,Male,Independent,0.0,2,2,1.0,25.0,ATTENTION,comprehensive,prosperity,workers,give,values,attack,acknowledge,terror,answer,gain,possibly,glad,monetary,types,finish,illegal,talked,changes,mom,duty,walls,indicated,excessive,discussion,preserve,basic
202,2.0,4.0,2,4,5,0,4,0,0,1,3,1,3.0,1.0,3.0,0,5,4,2,5,5,2,1,4,4.0,5,37,Female,Republican,1.0,0,4,1.0,41.0,ATTENTION,complete,prosperity,workers,contribute,values,attack,recognize,fear,answer,gain,potentially,glad,monetary,types,finish,illegal,spoke,reforms,mom,responsibility,walls,indicated,excessive,conversation,preserve,fundamental
