,1,2,3,4,5,list1_party,list2_party,list3_party,list4_party,list5_party,list1,list2,list3,list4,list5,party,party_identity,political_engagement,age,gender,voted
4,3,4,4,4,4,republican,republican,republican,democrat,democrat,"announced, walls, types, talked, recognize","finish, illegal, reforms, principles, duty","excessive, conversation, preserve, monetary, fundamental","workers, comprehensive, profit, glad, mother","wealth, respond, assault, contribute, potentially",2,0,-1,26,2,1
5,4,2,2,6,5,republican,republican,republican,democrat,democrat,"principles, employees, illegal, complete, reforms","possibly, talked, give, answer, conversation","prosperity, excessive, duty, announced, recognize","glad, financial, maintain, barriers, assault","profit, basic, end, mother, kinds",2,0,-3,30,1,1
8,4,2,3,5,4,democrat,democrat,democrat,republican,republican,"acknowledge, contribute, basic, barriers, glad","spoke, kinds, assault, values, criminal","potentially, mother, wealth, workers, profit","complete, finish, duty, preserve, conversation","answer, monetary, excessive, reforms, announced",3,0,-1,26,1,1
10,5,5,2,2,4,democrat,democrat,democrat,republican,republican,"discussion, basic, indicated, wealth, end","barriers, glad, changes, respond, values","criminal, maintain, workers, outrageous, contribute","complete, mom, attack, recognize, duty","talked, gain, monetary, possibly, types",3,0,-1,23,2,1
11,3,4,4,3,3,democrat,democrat,democrat,republican,republican,"indicated, outrageous, maintain, values, criminal","responsibility, assault, acknowledge, contribute, kinds","end, mother, financial, glad, barriers","complete, talked, conversation, fundamental, possibly","employees, answer, reforms, gain, prosperity",3,0,-3,45,1,1
12,3,5,3,4,3,democrat,democrat,democrat,republican,republican,"responsibility, wealth, kinds, mother, end","respond, workers, indicated, maintain, criminal","basic, values, contribute, comprehensive, outrageous","walls, possibly, monetary, talked, attack","happy, gain, conversation, reforms, recognize",3,-2,-3,19,1,2
13,2,2,4,5,6,democrat,democrat,democrat,republican,republican,"glad, indicated, acknowledge, criminal, maintain","values, potentially, end, contribute, basic","spoke, financial, comprehensive, mother, kinds","conversation, excessive, prosperity, gain, reforms","employees, walls, duty, answer, attack",2,2,0,29,1,1
14,5,3,6,6,6,republican,republican,republican,democrat,democrat,"attack, finish, fundamental, mom, preserve","complete, excessive, give, illegal, types","duty, announced, answer, principles, prosperity","potentially, changes, acknowledge, profit, discussion","workers, barriers, glad, spoke, financial",1,3,0,45,2,1
15,1,6,2,6,4,democrat,democrat,democrat,republican,republican,"kinds, comprehensive, glad, values, wealth","contribute, profit, financial, assault, outrageous","maintain, end, discussion, basic, responsibility","answer, employees, illegal, walls, mom","talked, reforms, recognize, announced, possibly",2,2,-1,22,2,1
16,2,1,5,6,6,democrat,democrat,democrat,republican,republican,"values, criminal, profit, workers, outrageous","wealth, basic, end, assault, responsibility","kinds, acknowledge, respond, glad, spoke","possibly, mom, monetary, complete, give","announced, preserve, walls, conversation, reforms",2,3,2,50,1,1
17,4,2,2,4,5,democrat,democrat,democrat,republican,republican,"assault, spoke, barriers, outrageous, financial","values, respond, potentially, contribute, discussion","glad, basic, wealth, mother, maintain","finish, duty, illegal, recognize, complete","gain, reforms, announced, types, employees",2,3,1,44,1,1
18,3,5,3,5,5,democrat,democrat,democrat,republican,republican,"comprehensive, mother, kinds, assault, barriers","respond, discussion, indicated, acknowledge, potentially","contribute, responsibility, end, outrageous, workers","prosperity, monetary, preserve, talked, principles","happy, fundamental, reforms, illegal, gain",3,0,0,36,1,1
19,4,4,4,5,2,republican,republican,republican,democrat,democrat,"finish, walls, principles, types, conversation","recognize, give, happy, possibly, answer","complete, illegal, duty, employees, mom","profit, financial, assault, maintain, spoke","basic, outrageous, indicated, changes, wealth",1,-1,-1,40,2,1
20,2,4,2,5,5,republican,republican,republican,democrat,democrat,"recognize, possibly, complete, preserve, monetary","types, announced, finish, employees, walls","answer, illegal, give, talked, conversation","mother, responsibility, profit, outrageous, assault","basic, changes, glad, wealth, values",1,-1,0,48,1,1
21,3,5,4,3,5,democrat,democrat,democrat,republican,republican,"comprehensive, mother, kinds, contribute, maintain","financial, changes, criminal, profit, barriers","wealth, potentially, discussion, outrageous, glad","fundamental, employees, duty, principles, announced","answer, talked, attack, recognize, finish",3,3,1,30,2,2
22,2,4,1,4,1,democrat,democrat,democrat,republican,republican,"wealth, profit, kinds, comprehensive, responsibility","values, workers, financial, criminal, glad","outrageous, discussion, acknowledge, indicated, end","preserve, answer, fundamental, attack, walls","mom, possibly, give, reforms, talked",3,1,4,34,2,1
23,2,2,5,6,6,democrat,democrat,democrat,republican,republican,"comprehensive, criminal, spoke, workers, responsibility","discussion, values, end, wealth, glad","financial, assault, respond, contribute, maintain","possibly, types, recognize, mom, fundamental","excessive, announced, gain, walls, reforms",2,2,1,44,1,1
24,2,1,1,5,4,democrat,democrat,democrat,republican,republican,"respond, indicated, comprehensive, changes, workers","kinds, wealth, values, basic, barriers","outrageous, responsibility, profit, acknowledge, assault","preserve, illegal, mom, talked, monetary","finish, conversation, happy, possibly, give",3,0,-1,61,1,1
25,3,3,3,2,5,democrat,democrat,democrat,republican,republican,"indicated, barriers, changes, responsibility, criminal","basic, respond, glad, kinds, spoke","outrageous, end, potentially, values, comprehensive","give, gain, conversation, preserve, mom","employees, prosperity, monetary, attack, recognize",2,3,2,30,2,1
26,4,4,6,5,2,democrat,democrat,democrat,republican,republican,"discussion, assault, profit, indicated, wealth","kinds, acknowledge, end, mother, glad","values, changes, financial, criminal, comprehensive","duty, give, walls, excessive, answer","preserve, possibly, fundamental, employees, talked",1,3,-1,46,1,1
27,3,2,4,5,4,democrat,democrat,democrat,republican,republican,"end, acknowledge, indicated, glad, barriers","changes, responsibility, workers, wealth, spoke","outrageous, assault, discussion, criminal, potentially","monetary, answer, preserve, mom, types","gain, give, fundamental, complete, principles",2,-2,1,28,2,1
29,5,3,3,1,6,democrat,democrat,democrat,republican,republican,"outrageous, barriers, spoke, mother, basic","profit, comprehensive, changes, acknowledge, potentially","workers, contribute, indicated, values, criminal","monetary, types, happy, preserve, finish","answer, conversation, duty, attack, prosperity",1,3,2,33,2,1
30,2,5,2,2,5,republican,republican,republican,democrat,democrat,"conversation, talked, announced, principles, reforms","finish, gain, illegal, attack, happy","possibly, monetary, excessive, answer, complete","acknowledge, basic, mother, contribute, workers","wealth, responsibility, kinds, maintain, barriers",2,0,-2,27,2,2
31,3,3,4,3,4,democrat,democrat,democrat,republican,republican,"criminal, outrageous, indicated, contribute, comprehensive","assault, maintain, discussion, values, acknowledge","glad, workers, financial, barriers, profit","fundamental, mom, talked, possibly, prosperity","reforms, duty, finish, answer, types",3,0,-2,60,2,2
32,4,6,5,4,3,republican,republican,republican,democrat,democrat,"announced, mom, happy, employees, possibly","attack, illegal, excessive, preserve, talked","monetary, fundamental, principles, complete, give","wealth, changes, discussion, kinds, profit","respond, barriers, responsibility, acknowledge, end",2,3,4,28,2,1
33,4,2,5,4,2,democrat,democrat,democrat,republican,republican,"barriers, changes, kinds, outrageous, indicated","basic, end, criminal, comprehensive, wealth","spoke, glad, responsibility, mother, values","answer, attack, gain, conversation, preserve","give, recognize, monetary, possibly, employees",3,0,0,45,2,1
34,4,4,4,4,3,republican,republican,republican,democrat,democrat,"complete, attack, monetary, recognize, illegal","announced, walls, happy, excessive, finish","fundamental, talked, preserve, answer, gain","kinds, potentially, values, changes, contribute","responsibility, workers, mother, wealth, discussion",2,0,-1,34,2,2
35,3,3,4,4,5,democrat,democrat,democrat,republican,republican,"values, indicated, respond, contribute, workers","end, mother, assault, kinds, acknowledge","wealth, discussion, outrageous, comprehensive, responsibility","happy, fundamental, reforms, preserve, gain","monetary, talked, illegal, walls, possibly",1,1,1,40,2,2
36,3,5,4,4,3,republican,republican,republican,democrat,democrat,"finish, principles, types, give, mom","prosperity, gain, answer, conversation, walls","illegal, attack, duty, monetary, excessive","acknowledge, maintain, basic, spoke, changes","comprehensive, workers, glad, potentially, indicated",3,-1,0,35,2,1
37,2,5,5,1,6,democrat,democrat,democrat,republican,republican,"criminal, changes, basic, spoke, comprehensive","responsibility, end, profit, discussion, kinds","financial, values, outrageous, indicated, wealth","possibly, answer, happy, employees, give","attack, preserve, walls, recognize, mom",2,3,2,24,2,1
39,2,5,6,6,3,democrat,democrat,democrat,republican,republican,"barriers, mother, criminal, assault, potentially","respond, spoke, maintain, outrageous, kinds","end, changes, wealth, values, basic","complete, happy, gain, conversation, duty","recognize, give, employees, monetary, announced",1,3,4,37,1,1
40,1,5,2,3,3,republican,republican,republican,democrat,democrat,"recognize, gain, walls, fundamental, duty","principles, illegal, reforms, excessive, talked","complete, finish, possibly, prosperity, mom","assault, discussion, kinds, workers, contribute","financial, maintain, respond, glad, indicated",2,3,0,25,2,2
41,1,4,4,5,2,democrat,democrat,democrat,republican,republican,"financial, values, mother, maintain, acknowledge","glad, kinds, responsibility, spoke, basic","outrageous, changes, wealth, end, discussion","gain, complete, give, announced, illegal","possibly, attack, employees, walls, answer",1,0,0,30,2,1
42,6,4,1,2,2,republican,republican,republican,democrat,democrat,"gain, attack, announced, types, walls","illegal, prosperity, mom, monetary, preserve","principles, employees, happy, fundamental, possibly","contribute, end, discussion, comprehensive, outrageous","respond, acknowledge, changes, spoke, responsibility",3,0,-2,30,2,2
44,5,2,3,4,5,republican,republican,republican,democrat,democrat,"possibly, complete, finish, principles, types","preserve, talked, employees, excessive, give","prosperity, conversation, recognize, answer, monetary","profit, barriers, glad, assault, mother","indicated, changes, criminal, basic, responsibility",1,1,0,36,1,1
45,4,3,3,2,3,democrat,democrat,democrat,republican,republican,"responsibility, values, mother, indicated, basic","kinds, assault, profit, maintain, spoke","contribute, respond, end, criminal, barriers","employees, recognize, complete, conversation, reforms","monetary, prosperity, possibly, excessive, happy",2,2,1,58,1,1
47,6,6,4,2,6,democrat,democrat,democrat,republican,republican,"profit, maintain, contribute, glad, respond","outrageous, kinds, basic, end, responsibility","barriers, values, workers, acknowledge, discussion","reforms, attack, announced, mom, possibly","talked, prosperity, complete, illegal, monetary",1,2,4,39,1,1
48,3,4,5,5,4,democrat,democrat,democrat,republican,republican,"respond, changes, comprehensive, glad, profit","criminal, acknowledge, barriers, discussion, workers","values, spoke, financial, outrageous, potentially","duty, types, preserve, finish, attack","give, mom, prosperity, fundamental, announced",2,-1,1,24,1,1
49,4,5,5,5,4,republican,republican,republican,democrat,democrat,"mom, complete, duty, give, gain","reforms, excessive, talked, conversation, prosperity","fundamental, recognize, employees, answer, illegal","values, barriers, indicated, potentially, glad","financial, kinds, assault, end, maintain",2,1,0,29,2,1
50,3,4,3,5,5,democrat,democrat,democrat,republican,republican,"indicated, criminal, end, assault, glad","barriers, maintain, comprehensive, acknowledge, mother","wealth, values, kinds, outrageous, changes","monetary, fundamental, conversation, employees, talked","gain, duty, answer, possibly, give",1,-1,-2,36,1,1
51,5,4,3,5,2,republican,republican,republican,democrat,democrat,"preserve, possibly, recognize, talked, answer","illegal, prosperity, gain, principles, announced","employees, fundamental, conversation, duty, mom","outrageous, changes, glad, assault, comprehensive","contribute, barriers, financial, end, kinds",2,1,-3,24,1,2
53,6,6,1,3,3,democrat,democrat,democrat,republican,republican,"responsibility, changes, kinds, profit, comprehensive","assault, potentially, criminal, end, acknowledge","respond, glad, indicated, workers, wealth","conversation, excessive, preserve, talked, principles","mom, give, walls, fundamental, monetary",3,0,1,25,2,2
55,2,5,6,1,5,republican,republican,republican,democrat,democrat,"answer, types, attack, happy, conversation","mom, possibly, employees, talked, give","gain, fundamental, monetary, finish, prosperity","criminal, changes, outrageous, barriers, indicated","responsibility, values, comprehensive, maintain, acknowledge",1,3,4,58,1,1
56,5,6,3,1,4,republican,republican,republican,democrat,democrat,"employees, walls, duty, happy, complete","preserve, principles, reforms, finish, mom","conversation, give, prosperity, attack, excessive","basic, financial, indicated, acknowledge, spoke","potentially, criminal, kinds, respond, profit",3,3,2,37,2,1
58,5,2,5,3,5,republican,republican,republican,democrat,democrat,"excessive, complete, happy, attack, conversation","talked, possibly, monetary, walls, answer","announced, types, finish, duty, prosperity","maintain, mother, basic, changes, acknowledge","profit, workers, contribute, values, criminal",2,3,-1,30,1,1
59,3,3,4,4,4,democrat,democrat,democrat,republican,republican,"acknowledge, criminal, contribute, glad, basic","kinds, maintain, workers, potentially, discussion","wealth, changes, responsibility, barriers, respond","excessive, principles, announced, finish, monetary","mom, talked, complete, gain, attack",3,-3,-1,38,2,1
61,4,5,3,3,5,republican,republican,republican,democrat,democrat,"mom, prosperity, employees, talked, conversation","excessive, give, possibly, preserve, answer","fundamental, principles, finish, illegal, gain","kinds, glad, indicated, changes, assault","responsibility, acknowledge, barriers, financial, comprehensive",1,3,2,35,2,1
62,4,3,4,3,4,republican,republican,republican,democrat,democrat,"duty, conversation, prosperity, employees, preserve","mom, finish, excessive, recognize, principles","talked, reforms, possibly, happy, walls","financial, basic, respond, indicated, assault","contribute, criminal, kinds, comprehensive, profit",2,2,2,38,1,1
63,5,2,6,2,5,republican,republican,republican,democrat,democrat,"types, gain, monetary, give, fundamental","reforms, principles, employees, answer, illegal","complete, preserve, duty, finish, prosperity","barriers, mother, potentially, glad, acknowledge","assault, indicated, outrageous, discussion, spoke",3,-2,2,40,2,1
64,2,2,3,4,2,republican,republican,republican,democrat,democrat,"employees, answer, mom, reforms, illegal","gain, announced, monetary, excessive, fundamental","principles, talked, duty, conversation, complete","glad, kinds, barriers, potentially, end","wealth, acknowledge, maintain, assault, contribute",3,3,1,32,2,1
65,2,2,4,5,4,democrat,democrat,democrat,republican,republican,"kinds, glad, contribute, maintain, basic","workers, respond, changes, end, acknowledge","wealth, assault, indicated, potentially, spoke","complete, walls, principles, monetary, excessive","mom, conversation, illegal, duty, gain",2,-2,0,21,2,1
67,5,4,3,3,4,democrat,democrat,democrat,republican,republican,"basic, responsibility, barriers, financial, outrageous","kinds, assault, mother, wealth, acknowledge","respond, potentially, glad, comprehensive, indicated","give, reforms, principles, preserve, conversation","illegal, gain, employees, finish, talked",3,-1,-1,54,2,2
68,4,2,4,6,2,republican,republican,republican,democrat,democrat,"preserve, finish, duty, talked, attack","give, recognize, types, principles, prosperity","gain, happy, possibly, excessive, answer","criminal, comprehensive, mother, changes, barriers","basic, indicated, discussion, workers, financial",2,1,0,28,2,1
69,5,6,5,3,5,republican,republican,republican,democrat,democrat,"talked, gain, possibly, employees, finish","monetary, reforms, types, recognize, prosperity","answer, illegal, complete, walls, conversation","contribute, glad, values, indicated, mother","maintain, responsibility, assault, basic, outrageous",1,3,0,24,2,1
70,3,5,6,2,5,republican,republican,republican,democrat,democrat,"employees, happy, reforms, types, principles","mom, conversation, illegal, recognize, fundamental","preserve, walls, attack, talked, prosperity","profit, financial, contribute, respond, potentially","indicated, end, comprehensive, outrageous, responsibility",2,-1,0,27,2,2
71,4,3,4,4,4,republican,republican,republican,democrat,democrat,"illegal, talked, principles, walls, duty","excessive, gain, attack, employees, prosperity","reforms, types, fundamental, complete, answer","potentially, contribute, mother, acknowledge, glad","financial, indicated, maintain, discussion, end",3,0,1,35,2,2
72,5,6,5,3,5,republican,republican,republican,democrat,democrat,"talked, fundamental, excessive, complete, conversation","principles, prosperity, employees, walls, preserve","announced, monetary, duty, recognize, gain","potentially, glad, changes, assault, criminal","contribute, kinds, end, mother, respond",3,-1,-1,42,1,1
74,4,4,5,3,3,democrat,democrat,democrat,republican,republican,"wealth, end, financial, indicated, changes","assault, spoke, potentially, glad, acknowledge","outrageous, mother, workers, kinds, maintain","walls, gain, illegal, duty, principles","answer, conversation, complete, fundamental, give",2,1,1,33,2,1
75,6,1,1,2,2,democrat,democrat,democrat,republican,republican,"outrageous, assault, potentially, maintain, contribute","responsibility, workers, values, criminal, basic","glad, indicated, spoke, acknowledge, discussion","monetary, prosperity, gain, complete, reforms","types, finish, walls, answer, mom",2,0,0,31,1,1
76,2,6,2,1,1,republican,republican,republican,democrat,democrat,"announced, mom, preserve, answer, prosperity","illegal, walls, attack, finish, gain","excessive, happy, give, fundamental, types","comprehensive, potentially, discussion, values, financial","acknowledge, workers, spoke, changes, responsibility",1,1,1,32,2,1
77,3,5,6,2,3,democrat,democrat,democrat,republican,republican,"end, criminal, comprehensive, outrageous, assault","potentially, respond, contribute, discussion, workers","profit, financial, responsibility, acknowledge, basic","prosperity, preserve, happy, talked, walls","announced, principles, reforms, types, mom",2,-2,0,30,1,2
78,2,4,3,5,4,democrat,democrat,democrat,republican,republican,"criminal, acknowledge, workers, responsibility, assault","glad, outrageous, mother, indicated, financial","maintain, spoke, wealth, kinds, basic","reforms, walls, gain, possibly, give","finish, complete, principles, answer, conversation",2,-3,-3,25,2,2
79,5,5,4,4,4,republican,republican,republican,democrat,democrat,"types, give, reforms, happy, attack","walls, duty, conversation, illegal, principles","employees, excessive, preserve, prosperity, finish","spoke, mother, respond, basic, acknowledge","indicated, comprehensive, potentially, financial, profit",2,0,1,25,2,1
80,5,4,3,5,3,republican,republican,republican,democrat,democrat,"walls, gain, preserve, give, monetary","excessive, talked, illegal, attack, types","reforms, duty, conversation, recognize, prosperity","mother, basic, respond, comprehensive, values","workers, indicated, potentially, glad, end",3,1,2,42,2,2
83,5,3,3,3,2,democrat,democrat,democrat,republican,republican,"discussion, end, acknowledge, basic, contribute","kinds, criminal, indicated, outrageous, assault","barriers, financial, workers, wealth, profit","answer, talked, possibly, principles, preserve","complete, reforms, duty, mom, happy",2,3,-1,25,2,1
84,1,4,5,3,5,republican,republican,republican,democrat,democrat,"reforms, prosperity, answer, finish, employees","gain, give, conversation, happy, talked","illegal, complete, principles, preserve, fundamental","outrageous, mother, financial, potentially, barriers","indicated, responsibility, acknowledge, assault, kinds",2,2,2,28,1,1
86,4,2,5,3,5,democrat,democrat,democrat,republican,republican,"mother, barriers, responsibility, contribute, assault","potentially, profit, end, outrageous, glad","comprehensive, financial, maintain, respond, basic","announced, reforms, prosperity, illegal, types","recognize, conversation, employees, principles, talked",3,-3,-3,25,2,1
87,2,3,6,6,6,democrat,democrat,democrat,republican,republican,"responsibility, contribute, maintain, workers, financial","basic, potentially, outrageous, indicated, discussion","respond, comprehensive, mother, spoke, wealth","illegal, walls, finish, types, happy","reforms, attack, gain, recognize, principles",3,3,-1,37,2,1
88,2,4,5,4,5,republican,republican,republican,democrat,democrat,"answer, excessive, preserve, happy, give","illegal, announced, duty, conversation, employees","mom, walls, principles, recognize, monetary","wealth, spoke, potentially, end, basic","assault, changes, profit, comprehensive, kinds",3,0,1,40,1,2
89,2,1,2,4,5,democrat,democrat,democrat,republican,republican,"end, maintain, respond, changes, spoke","assault, acknowledge, mother, responsibility, profit","glad, discussion, workers, potentially, values","excessive, complete, give, walls, illegal","monetary, prosperity, fundamental, types, announced",2,1,0,35,1,1
90,5,2,1,5,6,republican,republican,republican,democrat,democrat,"gain, duty, employees, happy, answer","conversation, give, fundamental, complete, monetary","mom, preserve, announced, walls, types","outrageous, potentially, criminal, changes, assault","end, wealth, values, acknowledge, spoke",3,1,0,44,2,1
91,2,5,2,2,3,republican,republican,republican,democrat,democrat,"principles, walls, announced, give, attack","types, recognize, fundamental, prosperity, conversation","happy, gain, talked, finish, employees","responsibility, changes, maintain, respond, outrageous","potentially, mother, financial, criminal, comprehensive",3,0,1,32,2,1
92,2,5,3,4,5,republican,republican,republican,democrat,democrat,"possibly, monetary, reforms, happy, types","finish, give, prosperity, illegal, preserve","talked, principles, conversation, employees, complete","respond, basic, indicated, mother, acknowledge","profit, assault, responsibility, barriers, outrageous",2,0,-2,43,1,1
94,3,5,4,6,2,democrat,democrat,democrat,republican,republican,"basic, maintain, financial, indicated, end","discussion, criminal, acknowledge, values, assault","potentially, contribute, workers, kinds, glad","walls, talked, complete, gain, prosperity","answer, excessive, duty, reforms, mom",3,-2,0,45,1,1
95,5,2,3,4,6,democrat,democrat,democrat,republican,republican,"basic, potentially, criminal, mother, responsibility","kinds, values, discussion, acknowledge, wealth","profit, respond, changes, contribute, assault","monetary, preserve, walls, talked, announced","complete, excessive, employees, happy, finish",3,-1,-3,29,1,2
97,5,1,5,5,5,republican,republican,republican,democrat,democrat,"types, illegal, employees, recognize, happy","mom, principles, possibly, reforms, answer","preserve, talked, excessive, fundamental, prosperity","comprehensive, contribute, barriers, financial, end","responsibility, profit, discussion, indicated, assault",1,-3,-1,52,1,1
99,6,6,2,6,6,democrat,democrat,democrat,republican,republican,"comprehensive, mother, assault, wealth, responsibility","end, glad, respond, profit, acknowledge","contribute, basic, kinds, spoke, values","announced, conversation, walls, possibly, reforms","preserve, monetary, excessive, illegal, employees",2,0,-3,29,1,2
100,2,5,4,3,2,republican,republican,republican,democrat,democrat,"employees, answer, excessive, principles, fundamental","possibly, reforms, announced, conversation, attack","illegal, duty, walls, complete, give","acknowledge, mother, wealth, profit, spoke","maintain, financial, glad, end, kinds",1,0,-1,28,2,1
102,3,5,4,4,2,democrat,democrat,democrat,republican,republican,"wealth, indicated, mother, workers, discussion","contribute, financial, outrageous, profit, respond","basic, kinds, assault, end, barriers","talked, reforms, illegal, complete, possibly","recognize, principles, duty, happy, preserve",2,1,0,29,2,1
103,3,5,3,2,2,republican,republican,republican,democrat,democrat,"answer, excessive, principles, walls, possibly","talked, finish, preserve, fundamental, reforms","illegal, monetary, happy, gain, attack","kinds, workers, indicated, discussion, contribute","comprehensive, wealth, acknowledge, responsibility, mother",2,2,0,29,1,2
104,3,6,6,1,4,democrat,democrat,democrat,republican,republican,"end, changes, comprehensive, assault, profit","workers, contribute, barriers, respond, responsibility","financial, discussion, maintain, criminal, indicated","mom, prosperity, excessive, recognize, happy","possibly, fundamental, talked, types, principles",1,0,-2,44,2,1
105,2,6,1,3,2,republican,republican,republican,democrat,democrat,"mom, duty, preserve, possibly, excessive","gain, fundamental, happy, attack, walls","give, finish, illegal, recognize, employees","comprehensive, kinds, values, financial, changes","wealth, discussion, spoke, indicated, respond",2,-3,0,39,2,1
106,5,5,4,3,5,democrat,democrat,democrat,republican,republican,"glad, respond, end, changes, wealth","profit, acknowledge, values, spoke, workers","assault, maintain, financial, basic, criminal","possibly, duty, give, mom, complete","walls, types, announced, excessive, conversation",2,3,4,36,2,1
108,4,4,3,4,3,republican,republican,republican,democrat,democrat,"walls, reforms, monetary, finish, employees","preserve, duty, mom, give, fundamental","illegal, excessive, happy, attack, recognize","comprehensive, wealth, kinds, respond, values","discussion, spoke, potentially, profit, indicated",1,0,-3,34,1,1
