,1,2,3,4,5,list1_party,list2_party,list3_party,list4_party,list5_party,list1,list2,list3,list4,list5,party,party_identity,political_engagement,age,gender,voted
109,5,2,1,6,4,democrat,democrat,democrat,republican,republican,"barriers, comprehensive, potentially, outrageous, assault","indicated, values, acknowledge, basic, end","contribute, workers, wealth, responsibility, kinds","illegal, conversation, answer, mom, gain","monetary, happy, preserve, talked, reforms",2,0,2,26,1,1
111,5,3,4,4,3,democrat,democrat,democrat,republican,republican,"spoke, workers, barriers, discussion, respond","comprehensive, mother, basic, changes, assault","glad, kinds, values, wealth, potentially","finish, excessive, duty, illegal, preserve","give, monetary, gain, recognize, announced",3,-3,-3,40,2,2
112,5,5,1,6,6,democrat,democrat,democrat,republican,republican,"maintain, kinds, profit, basic, end","criminal, spoke, barriers, responsibility, discussion","mother, acknowledge, indicated, changes, glad","complete, prosperity, employees, possibly, monetary","principles, give, attack, answer, excessive",2,3,4,23,2,1
113,5,3,5,4,3,republican,republican,republican,democrat,democrat,"conversation, fundamental, finish, reforms, give","gain, duty, prosperity, illegal, announced","happy, talked, mom, principles, monetary","barriers, acknowledge, maintain, potentially, workers","respond, assault, comprehensive, kinds, outrageous",1,3,0,49,1,1
114,2,5,4,2,4,republican,republican,republican,democrat,democrat,"gain, complete, preserve, possibly, duty","announced, monetary, illegal, attack, recognize","answer, happy, talked, mom, give","wealth, basic, discussion, values, outrageous","workers, end, barriers, changes, kinds",1,3,-3,29,2,2
116,4,3,5,6,6,democrat,democrat,democrat,republican,republican,"contribute, financial, mother, spoke, maintain","comprehensive, acknowledge, potentially, profit, basic","end, outrageous, changes, kinds, glad","announced, principles, duty, walls, employees","attack, illegal, conversation, answer, prosperity",2,2,0,26,2,1
117,2,4,5,2,6,republican,republican,republican,democrat,democrat,"types, happy, gain, prosperity, reforms","mom, talked, recognize, monetary, employees","answer, announced, give, conversation, illegal","potentially, values, comprehensive, responsibility, basic","outrageous, assault, end, barriers, maintain",2,-1,0,32,1,1
118,5,1,6,6,1,republican,republican,republican,democrat,democrat,"preserve, answer, conversation, attack, complete","announced, excessive, reforms, mom, monetary","recognize, talked, possibly, illegal, happy","wealth, values, basic, kinds, contribute","workers, end, profit, responsibility, barriers",1,2,4,31,2,1
119,6,2,4,4,6,democrat,democrat,democrat,republican,republican,"responsibility, mother, basic, discussion, comprehensive","contribute, potentially, indicated, respond, changes","profit, kinds, spoke, end, financial","illegal, excessive, employees, happy, attack","recognize, principles, prosperity, walls, preserve",2,2,1,26,1,1
121,6,6,4,3,5,republican,republican,republican,democrat,democrat,"conversation, gain, finish, principles, walls","talked, fundamental, announced, prosperity, illegal","monetary, mom, attack, answer, give","potentially, maintain, acknowledge, kinds, comprehensive","glad, changes, responsibility, workers, outrageous",2,3,2,34,2,1
122,5,3,2,3,6,democrat,democrat,democrat,republican,republican,"indicated, outrageous, assault, acknowledge, discussion","respond, criminal, potentially, basic, end","glad, values, maintain, kinds, wealth","give, monetary, complete, mom, employees","walls, duty, reforms, talked, gain",2,1,1,41,2,1
123,5,4,6,1,3,democrat,democrat,democrat,republican,republican,"financial, end, mother, acknowledge, spoke","wealth, values, potentially, respond, maintain","criminal, changes, assault, kinds, outrageous","announced, walls, fundamental, give, happy","duty, complete, conversation, employees, gain",2,1,0,35,2,1
125,5,2,3,4,5,democrat,democrat,democrat,republican,republican,"discussion, criminal, basic, spoke, mother","values, potentially, end, changes, barriers","glad, comprehensive, maintain, contribute, acknowledge","prosperity, excessive, employees, monetary, types","announced, duty, attack, gain, answer",2,1,-1,32,1,1
126,4,4,3,2,4,democrat,democrat,democrat,republican,republican,"respond, criminal, maintain, discussion, profit","comprehensive, responsibility, values, wealth, outrageous","changes, spoke, workers, kinds, glad","finish, mom, walls, announced, give","recognize, attack, monetary, fundamental, possibly",1,3,1,40,1,2
127,5,5,4,4,3,democrat,democrat,democrat,republican,republican,"assault, workers, values, basic, criminal","maintain, profit, outrageous, financial, end","spoke, respond, mother, wealth, acknowledge","give, walls, conversation, possibly, reforms","happy, duty, types, announced, complete",1,1,0,58,1,1
128,4,6,3,4,3,republican,republican,republican,democrat,democrat,"recognize, types, answer, reforms, happy","duty, complete, conversation, talked, gain","fundamental, mom, walls, give, possibly","assault, indicated, outrageous, end, maintain","workers, wealth, values, criminal, financial",3,0,1,29,2,1
129,6,1,1,6,1,republican,republican,republican,democrat,democrat,"recognize, gain, types, attack, talked","illegal, mom, complete, monetary, preserve","excessive, conversation, principles, announced, give","responsibility, potentially, end, changes, basic","respond, glad, wealth, workers, barriers",3,0,-3,24,2,2
130,3,4,4,4,3,republican,republican,republican,democrat,democrat,"possibly, happy, give, monetary, types","complete, illegal, walls, talked, reforms","recognize, duty, fundamental, mom, employees","maintain, outrageous, discussion, values, respond","end, wealth, assault, profit, indicated",3,1,0,28,1,1
131,5,5,4,4,3,republican,republican,republican,democrat,democrat,"illegal, give, complete, principles, fundamental","walls, employees, duty, recognize, mom","announced, reforms, gain, answer, attack","glad, kinds, maintain, potentially, outrageous","wealth, end, spoke, financial, discussion",3,0,4,29,1,1
132,5,6,2,3,3,republican,republican,republican,democrat,democrat,"preserve, prosperity, gain, fundamental, happy","mom, illegal, monetary, answer, walls","principles, announced, conversation, complete, recognize","contribute, kinds, changes, workers, assault","outrageous, responsibility, spoke, end, potentially",1,0,2,50,2,1
133,2,5,5,5,2,republican,republican,republican,democrat,democrat,"types, give, conversation, employees, talked","fundamental, duty, answer, mom, walls","complete, principles, attack, monetary, happy","profit, end, maintain, changes, acknowledge","outrageous, wealth, criminal, indicated, potentially",3,0,2,36,2,1
134,4,2,3,5,5,democrat,democrat,democrat,republican,republican,"values, wealth, outrageous, acknowledge, maintain","indicated, comprehensive, workers, financial, end","spoke, discussion, responsibility, contribute, profit","fundamental, possibly, answer, illegal, happy","types, reforms, mom, attack, walls",2,2,2,57,2,1
135,5,6,3,4,5,republican,republican,republican,democrat,democrat,"employees, illegal, excessive, reforms, duty","talked, preserve, mom, fundamental, prosperity","gain, give, answer, complete, recognize","barriers, financial, indicated, assault, kinds","glad, end, potentially, values, discussion",3,-3,1,20,2,2
137,3,5,4,5,3,democrat,democrat,democrat,republican,republican,"workers, potentially, assault, respond, glad","financial, comprehensive, values, end, changes","spoke, responsibility, discussion, acknowledge, mother","announced, prosperity, fundamental, illegal, preserve","types, give, excessive, walls, gain",3,-1,2,36,2,1
138,4,5,3,5,2,republican,republican,republican,democrat,democrat,"mom, answer, types, possibly, recognize","excessive, prosperity, monetary, give, principles","gain, attack, duty, fundamental, reforms","criminal, comprehensive, workers, maintain, end","discussion, glad, barriers, spoke, indicated",2,2,-3,29,2,2
139,2,1,1,4,2,democrat,democrat,democrat,republican,republican,"glad, kinds, changes, indicated, workers","responsibility, criminal, acknowledge, outrageous, assault","respond, wealth, contribute, end, mother","fundamental, conversation, talked, gain, preserve","principles, complete, possibly, monetary, walls",1,0,1,53,2,1
140,5,4,5,3,4,republican,republican,republican,democrat,democrat,"attack, excessive, complete, monetary, answer","give, finish, conversation, announced, principles","recognize, reforms, walls, prosperity, possibly","mother, kinds, responsibility, workers, criminal","spoke, basic, glad, profit, maintain",1,0,-1,26,2,1
141,4,5,2,4,2,republican,republican,republican,democrat,democrat,"attack, preserve, recognize, principles, illegal","duty, excessive, finish, reforms, types","talked, employees, announced, give, gain","wealth, financial, comprehensive, mother, basic","glad, potentially, discussion, respond, barriers",3,1,1,60,2,1
142,3,4,4,5,3,democrat,democrat,democrat,republican,republican,"barriers, spoke, indicated, comprehensive, end","financial, glad, outrageous, contribute, acknowledge","assault, respond, maintain, kinds, responsibility","prosperity, mom, reforms, illegal, employees","conversation, fundamental, principles, gain, possibly",2,-3,-1,25,1,2
143,4,3,5,3,4,republican,republican,republican,democrat,democrat,"employees, monetary, finish, conversation, reforms","announced, attack, give, prosperity, excessive","walls, preserve, gain, recognize, complete","mother, spoke, responsibility, kinds, glad","basic, values, criminal, potentially, respond",3,0,1,28,1,1
144,5,2,5,2,2,republican,republican,republican,democrat,democrat,"talked, duty, reforms, illegal, types","possibly, happy, attack, fundamental, conversation","give, excessive, principles, announced, monetary","workers, acknowledge, mother, maintain, profit","wealth, barriers, respond, comprehensive, end",2,0,2,28,1,1
145,5,2,3,5,6,democrat,democrat,democrat,republican,republican,"responsibility, potentially, acknowledge, changes, workers","barriers, mother, assault, kinds, discussion","end, values, financial, basic, contribute","gain, illegal, preserve, happy, complete","announced, answer, excessive, prosperity, talked",2,1,0,32,2,1
146,2,2,6,6,6,democrat,democrat,democrat,republican,republican,"spoke, end, criminal, discussion, kinds","basic, maintain, contribute, glad, workers","profit, wealth, assault, financial, responsibility","announced, mom, answer, complete, recognize","possibly, principles, walls, excessive, reforms",2,1,1,29,1,1
148,2,6,6,3,6,democrat,democrat,democrat,republican,republican,"responsibility, acknowledge, respond, basic, potentially","indicated, discussion, barriers, glad, end","comprehensive, values, mother, profit, financial","give, attack, prosperity, employees, types","illegal, talked, excessive, reforms, preserve",2,3,2,39,2,1
149,5,2,4,2,5,republican,republican,republican,democrat,democrat,"conversation, gain, reforms, finish, principles","employees, types, excessive, complete, happy","monetary, talked, duty, attack, illegal","mother, wealth, barriers, acknowledge, basic","contribute, maintain, potentially, indicated, respond",2,1,4,26,1,1
150,4,5,5,3,5,republican,republican,republican,democrat,democrat,"employees, types, complete, announced, possibly","principles, talked, preserve, fundamental, prosperity","walls, excessive, answer, give, mom","financial, acknowledge, profit, changes, discussion","responsibility, glad, end, criminal, assault",1,-2,0,31,2,1
152,5,2,4,4,1,democrat,democrat,democrat,republican,republican,"financial, end, kinds, acknowledge, outrageous","criminal, contribute, barriers, wealth, spoke","responsibility, glad, changes, potentially, discussion","announced, answer, complete, fundamental, preserve","gain, principles, attack, employees, mom",3,1,0,30,1,2
153,5,2,4,6,6,democrat,democrat,democrat,republican,republican,"maintain, barriers, comprehensive, values, spoke","contribute, changes, kinds, glad, basic","discussion, mother, outrageous, acknowledge, end","answer, employees, prosperity, gain, possibly","announced, duty, monetary, attack, illegal",3,0,1,30,2,1
154,2,2,5,5,2,democrat,democrat,democrat,republican,republican,"profit, contribute, financial, changes, criminal","discussion, assault, potentially, end, outrageous","maintain, kinds, barriers, basic, respond","prosperity, employees, mom, talked, duty","announced, principles, happy, complete, recognize",3,2,1,55,2,1
155,3,4,3,4,4,democrat,democrat,democrat,republican,republican,"values, wealth, changes, responsibility, potentially","spoke, profit, indicated, contribute, basic","comprehensive, discussion, mother, assault, acknowledge","excessive, monetary, finish, preserve, answer","happy, illegal, walls, employees, types",2,-3,0,25,1,1
156,5,2,2,5,5,democrat,democrat,democrat,republican,republican,"respond, criminal, glad, acknowledge, values","mother, assault, maintain, barriers, end","outrageous, workers, financial, comprehensive, wealth","give, gain, reforms, possibly, conversation","talked, duty, fundamental, types, announced",2,1,2,43,2,1
157,3,3,4,6,2,democrat,democrat,democrat,republican,republican,"changes, wealth, respond, criminal, spoke","maintain, assault, financial, discussion, mother","comprehensive, basic, workers, barriers, contribute","possibly, announced, gain, duty, happy","principles, finish, recognize, excessive, types",2,1,1,34,2,1
158,4,5,3,3,2,republican,republican,republican,democrat,democrat,"monetary, reforms, employees, types, finish","walls, prosperity, attack, excessive, gain","give, happy, principles, answer, announced","maintain, criminal, discussion, acknowledge, spoke","mother, responsibility, potentially, basic, comprehensive",3,1,0,49,1,2
159,3,2,5,2,4,democrat,democrat,democrat,republican,republican,"responsibility, barriers, discussion, values, assault","respond, workers, kinds, maintain, changes","profit, glad, potentially, basic, indicated","give, monetary, excessive, illegal, complete","talked, prosperity, mom, recognize, finish",2,1,0,54,1,1
160,1,5,2,2,1,democrat,democrat,democrat,republican,republican,"indicated, maintain, values, end, spoke","wealth, workers, profit, criminal, acknowledge","financial, contribute, barriers, basic, potentially","mom, conversation, excessive, attack, reforms","duty, happy, answer, types, complete",3,3,4,43,1,1
162,3,3,3,3,3,democrat,democrat,democrat,republican,republican,"responsibility, criminal, respond, outrageous, glad","changes, barriers, values, assault, basic","maintain, acknowledge, wealth, end, contribute","mom, monetary, announced, talked, types","complete, conversation, possibly, gain, employees",1,-3,-3,32,2,1
164,4,5,3,3,4,democrat,democrat,democrat,republican,republican,"financial, assault, mother, respond, comprehensive","maintain, outrageous, barriers, indicated, contribute","basic, glad, spoke, values, criminal","conversation, finish, possibly, prosperity, recognize","reforms, types, employees, duty, gain",3,0,-1,54,1,1
165,4,4,3,3,4,democrat,democrat,democrat,republican,republican,"kinds, glad, potentially, acknowledge, assault","wealth, outrageous, mother, profit, end","changes, respond, criminal, discussion, basic","talked, principles, monetary, complete, walls","employees, give, duty, preserve, announced",3,-3,-3,24,2,2
166,3,5,5,2,3,republican,republican,republican,democrat,democrat,"answer, attack, finish, complete, excessive","employees, preserve, prosperity, reforms, conversation","fundamental, principles, types, gain, announced","barriers, glad, spoke, contribute, responsibility","potentially, mother, acknowledge, criminal, financial",1,-3,1,60,2,1
167,5,5,2,3,4,democrat,democrat,democrat,republican,republican,"maintain, discussion, glad, indicated, profit","basic, contribute, workers, financial, respond","wealth, assault, end, changes, values","mom, recognize, possibly, talked, excessive","walls, illegal, duty, complete, types",2,1,2,25,3,1
168,6,1,6,6,1,republican,republican,republican,democrat,democrat,"types, monetary, principles, excessive, recognize","answer, duty, complete, employees, possibly","finish, conversation, prosperity, attack, give","criminal, glad, spoke, changes, indicated","barriers, profit, mother, maintain, basic",2,3,-3,32,1,1
169,2,2,4,2,5,republican,republican,republican,democrat,democrat,"finish, principles, illegal, give, reforms","attack, employees, complete, possibly, monetary","gain, answer, recognize, announced, happy","outrageous, basic, barriers, maintain, kinds","wealth, mother, responsibility, spoke, discussion",2,1,0,62,2,1
170,5,5,1,4,5,republican,republican,republican,democrat,democrat,"principles, prosperity, excessive, finish, announced","employees, talked, preserve, duty, conversation","complete, happy, reforms, mom, recognize","assault, barriers, potentially, criminal, contribute","profit, kinds, basic, financial, respond",1,-3,-1,38,1,1
171,5,4,2,5,5,democrat,democrat,democrat,republican,republican,"kinds, outrageous, wealth, discussion, financial","respond, values, workers, barriers, mother","comprehensive, spoke, responsibility, contribute, end","attack, fundamental, gain, recognize, announced","reforms, preserve, possibly, happy, illegal",3,1,-1,29,2,2
172,5,4,2,3,5,democrat,democrat,democrat,republican,republican,"wealth, outrageous, contribute, kinds, discussion","comprehensive, acknowledge, basic, maintain, criminal","values, mother, financial, changes, barriers","possibly, talked, gain, finish, announced","happy, employees, attack, answer, duty",1,-2,-2,32,2,1
173,4,5,2,5,2,democrat,democrat,democrat,republican,republican,"assault, maintain, workers, indicated, wealth","values, profit, kinds, criminal, discussion","financial, mother, responsibility, basic, glad","walls, finish, talked, possibly, excessive","complete, answer, give, reforms, recognize",3,3,1,44,2,1
174,4,2,2,2,4,democrat,democrat,democrat,republican,republican,"assault, responsibility, indicated, profit, glad","barriers, outrageous, contribute, basic, values","spoke, workers, mother, comprehensive, maintain","monetary, answer, prosperity, conversation, finish","illegal, possibly, reforms, types, recognize",2,0,1,28,1,1
175,2,5,6,4,2,republican,republican,republican,democrat,democrat,"answer, gain, prosperity, preserve, complete","reforms, give, illegal, attack, duty","walls, employees, possibly, talked, recognize","financial, values, glad, end, mother","kinds, basic, indicated, outrageous, discussion",2,2,1,24,2,1
177,6,3,5,5,2,democrat,democrat,democrat,republican,republican,"workers, criminal, profit, responsibility, contribute","respond, comprehensive, acknowledge, kinds, glad","wealth, assault, changes, end, mother","walls, preserve, fundamental, possibly, conversation","talked, announced, principles, excessive, monetary",3,0,1,56,1,1
178,3,5,6,3,5,democrat,democrat,democrat,republican,republican,"respond, workers, contribute, basic, comprehensive","responsibility, end, glad, spoke, mother","profit, criminal, maintain, values, barriers","conversation, prosperity, reforms, monetary, recognize","possibly, types, excessive, announced, attack",2,1,-1,36,2,1
179,3,4,2,3,5,democrat,democrat,democrat,republican,republican,"basic, barriers, glad, maintain, wealth","potentially, responsibility, respond, workers, discussion","assault, kinds, outrageous, comprehensive, acknowledge","monetary, talked, announced, finish, reforms","give, principles, gain, mom, illegal",3,2,-1,30,2,1
180,5,4,2,5,2,democrat,democrat,democrat,republican,republican,"kinds, wealth, changes, potentially, financial","comprehensive, criminal, assault, profit, indicated","workers, outrageous, spoke, end, respond","duty, principles, happy, mom, recognize","conversation, preserve, fundamental, walls, give",2,1,0,44,1,1
181,1,5,5,5,6,republican,republican,republican,democrat,democrat,"talked, complete, reforms, finish, gain","recognize, happy, mom, walls, principles","types, duty, announced, answer, prosperity","criminal, basic, contribute, potentially, maintain","financial, workers, assault, discussion, outrageous",2,3,-1,32,2,2
182,4,4,3,4,4,democrat,democrat,democrat,republican,republican,"spoke, workers, glad, respond, changes","profit, barriers, maintain, mother, acknowledge","responsibility, outrageous, assault, potentially, values","types, conversation, fundamental, illegal, announced","prosperity, complete, finish, monetary, give",3,0,-1,42,1,1
183,5,4,5,2,5,republican,republican,republican,democrat,democrat,"talked, mom, give, reforms, prosperity","finish, happy, attack, illegal, gain","types, announced, excessive, recognize, walls","financial, discussion, basic, respond, responsibility","comprehensive, values, workers, potentially, maintain",3,1,0,48,1,2
184,6,5,6,6,6,republican,republican,republican,democrat,democrat,"finish, attack, principles, duty, possibly","illegal, give, fundamental, types, monetary","reforms, answer, complete, mom, preserve","indicated, acknowledge, discussion, barriers, spoke","wealth, glad, workers, profit, outrageous",1,2,4,48,1,1
185,3,4,5,4,5,democrat,democrat,democrat,republican,republican,"spoke, end, basic, contribute, wealth","kinds, barriers, mother, profit, glad","financial, criminal, assault, indicated, respond","duty, complete, conversation, excessive, employees","principles, reforms, recognize, preserve, possibly",2,0,-1,28,2,2
186,4,5,4,3,3,republican,republican,republican,democrat,democrat,"employees, finish, gain, mom, principles","duty, walls, attack, prosperity, recognize","announced, excessive, preserve, reforms, illegal","financial, basic, spoke, respond, discussion","comprehensive, contribute, kinds, glad, potentially",2,1,4,35,2,1
187,3,4,4,2,1,republican,republican,republican,democrat,democrat,"possibly, employees, types, announced, give","monetary, conversation, complete, principles, gain","duty, reforms, recognize, fundamental, talked","mother, end, barriers, respond, assault","wealth, glad, outrageous, criminal, maintain",1,-1,4,64,2,1
188,3,5,6,2,6,republican,republican,republican,democrat,democrat,"fundamental, principles, excessive, possibly, gain","recognize, types, give, conversation, prosperity","duty, announced, mom, walls, preserve","end, spoke, glad, changes, assault","respond, comprehensive, workers, financial, criminal",1,0,0,33,2,1
189,6,2,2,5,2,democrat,democrat,democrat,republican,republican,"barriers, criminal, mother, potentially, profit","changes, acknowledge, contribute, spoke, basic","comprehensive, glad, discussion, kinds, responsibility","principles, prosperity, excessive, attack, monetary","answer, employees, finish, preserve, announced",3,0,-2,31,2,2
190,2,6,3,5,5,democrat,democrat,democrat,republican,republican,"barriers, workers, respond, changes, discussion","indicated, acknowledge, basic, mother, criminal","end, potentially, assault, responsibility, comprehensive","principles, gain, give, monetary, types","prosperity, talked, happy, excessive, preserve",2,2,4,20,2,1
191,2,4,5,3,4,democrat,democrat,democrat,republican,republican,"discussion, indicated, acknowledge, workers, values","assault, kinds, maintain, criminal, glad","financial, wealth, responsibility, mother, outrageous","fundamental, finish, answer, give, complete","walls, talked, possibly, reforms, gain",2,-1,4,26,2,1
192,4,3,3,3,5,republican,republican,republican,democrat,democrat,"talked, reforms, recognize, prosperity, finish","announced, happy, possibly, monetary, attack","give, employees, preserve, conversation, answer","kinds, outrageous, responsibility, barriers, comprehensive","basic, profit, criminal, values, mother",2,1,0,21,2,1
193,3,1,5,3,4,democrat,democrat,democrat,republican,republican,"basic, discussion, criminal, spoke, responsibility","changes, barriers, wealth, indicated, comprehensive","potentially, contribute, profit, maintain, assault","employees, types, recognize, principles, mom","excessive, monetary, happy, answer, finish",2,2,0,30,1,1
194,3,4,4,5,3,democrat,democrat,democrat,republican,republican,"values, wealth, kinds, comprehensive, discussion","end, assault, maintain, acknowledge, contribute","criminal, workers, responsibility, changes, mother","fundamental, talked, excessive, gain, monetary","announced, walls, answer, possibly, happy",3,2,-1,62,2,1
196,4,3,5,3,4,republican,republican,republican,democrat,democrat,"give, fundamental, recognize, complete, types","gain, monetary, duty, talked, illegal","excessive, walls, principles, happy, mom","respond, maintain, discussion, indicated, wealth","end, potentially, assault, changes, workers",1,1,2,37,2,1
197,5,4,3,3,2,republican,republican,republican,democrat,democrat,"gain, principles, reforms, walls, give","duty, finish, monetary, types, complete","preserve, talked, employees, fundamental, attack","wealth, respond, criminal, potentially, indicated","discussion, outrageous, mother, glad, acknowledge",2,0,1,32,2,1
198,6,1,1,4,4,republican,republican,republican,democrat,democrat,"illegal, fundamental, reforms, mom, excessive","answer, finish, preserve, happy, conversation","gain, prosperity, types, principles, employees","acknowledge, responsibility, barriers, assault, potentially","spoke, contribute, comprehensive, financial, indicated",2,-1,-3,28,1,1
199,4,3,3,2,4,republican,republican,republican,democrat,democrat,"duty, walls, principles, answer, complete","possibly, attack, monetary, give, announced","finish, conversation, talked, recognize, gain","mother, outrageous, criminal, kinds, workers","wealth, maintain, basic, glad, changes",3,0,-1,36,2,1
200,5,6,4,3,2,republican,republican,republican,democrat,democrat,"types, excessive, duty, fundamental, attack","illegal, principles, prosperity, conversation, possibly","monetary, employees, preserve, complete, walls","end, contribute, glad, profit, mother","indicated, respond, acknowledge, spoke, changes",1,0,2,45,2,1
201,5,6,4,2,3,republican,republican,republican,democrat,democrat,"duty, happy, reforms, finish, answer","employees, illegal, gain, excessive, give","conversation, talked, mom, principles, preserve","barriers, wealth, kinds, potentially, basic","acknowledge, financial, indicated, comprehensive, assault",2,1,2,33,2,1
202,4,3,5,5,6,democrat,democrat,democrat,republican,republican,"spoke, potentially, discussion, changes, financial","kinds, profit, basic, comprehensive, outrageous","end, indicated, barriers, contribute, maintain","prosperity, principles, recognize, mom, answer","illegal, attack, happy, employees, duty",3,-2,0,23,2,2
203,4,2,3,4,2,democrat,democrat,democrat,republican,republican,"values, financial, discussion, spoke, mother","workers, indicated, criminal, glad, responsibility","assault, outrageous, barriers, wealth, profit","finish, preserve, fundamental, complete, types","reforms, possibly, answer, give, recognize",2,2,1,35,3,1
204,3,5,2,1,2,republican,republican,republican,democrat,democrat,"reforms, attack, duty, finish, excessive","gain, illegal, give, talked, announced","mom, types, happy, walls, fundamental","potentially, acknowledge, workers, values, discussion","wealth, financial, comprehensive, maintain, respond",2,2,1,40,2,1
205,2,4,2,4,4,democrat,democrat,democrat,republican,republican,"assault, end, responsibility, kinds, basic","outrageous, discussion, values, wealth, maintain","respond, changes, glad, indicated, spoke","gain, employees, illegal, mom, walls","possibly, recognize, monetary, give, complete",2,3,0,74,1,1
