,1,2,3,4,5,6,7,8,9,10,Condition,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
0,inferior,joy,scarce,unqualified,cry,stupid,rapid,unknown,useless,disloyal,DEMOCRAT,39.0,Female,Republican,Master's degree,6,4,False
1,inferior,joy,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,23.0,Female,Republican,Master's degree,3,4,False
2,superior,sorrow,scarce,unqualified,cry,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,44.0,Female,Democrat,Master's degree,7,6,True
3,superior,joy,plentiful,qualified,laugh,stupid,rapid,unknown,useful,loyal,REPUBLICAN,52.0,Female,Democrat,Bachelor's degree,7,5,False
4,superior,joy,plentiful,unqualified,cry,stupid,rapid,famous,useful,disloyal,DEMOCRAT,69.0,Female,Republican,High school,7,7,False
5,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,64.0,Female,Republican,High school,2,4,False
6,superior,sorrow,scarce,qualified,laugh,stupid,slow,famous,useless,disloyal,REPUBLICAN,28.0,Female,Democrat,Bachelor's degree,7,4,True
7,superior,joy,scarce,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,37.0,Female,Democrat,Master's degree,7,2,True
8,inferior,sorrow,scarce,qualified,laugh,clever,slow,famous,useful,disloyal,REPUBLICAN,40.0,Male,Democrat,Bachelor's degree,2,2,False
9,superior,sorrow,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,47.0,Female,Democrat,Bachelor's degree,6,4,True
10,inferior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,40.0,Male,Democrat,High school,7,4,True
11,inferior,sorrow,plentiful,unqualified,laugh,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,36.0,Female,Democrat,Bachelor's degree,5,6,True
12,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,63.0,Female,Democrat,Master's degree,6,7,True
13,superior,sorrow,plentiful,unqualified,cry,stupid,slow,famous,useless,loyal,REPUBLICAN,46.0,Male,Democrat,Associate's/professional/vocational degree,3,2,True
14,inferior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,46.0,Female,Democrat,Bachelor's degree,7,5,True
15,superior,sorrow,scarce,qualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,52.0,Female,Democrat,Some college (no degree),7,7,True
16,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,36.0,Male,Democrat,Some college (no degree),5,7,True
17,inferior,joy,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,29.0,Male,Democrat,Master's degree,5,2,True
18,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,38.0,Male,Democrat,Bachelor's degree,3,5,True
19,superior,sorrow,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,26.0,Female,Republican,Associate's/professional/vocational degree,4,4,True
20,superior,sorrow,plentiful,qualified,laugh,clever,slow,famous,useful,loyal,DEMOCRAT,24.0,Male,Republican,Some college (no degree),4,4,False
21,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,61.0,Female,Republican,Some high school (no degree),6,3,True
22,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,47.0,Female,Republican,Bachelor's degree,2,1,True
23,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,DEMOCRAT,70.0,Female,Republican,Some college (no degree),7,7,True
24,superior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,loyal,REPUBLICAN,43.0,Female,Democrat,Bachelor's degree,5,5,True
25,superior,joy,scarce,qualified,laugh,clever,slow,famous,useful,loyal,REPUBLICAN,70.0,Female,Democrat,Bachelor's degree,5,4,True
26,inferior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,36.0,Female,Republican,Bachelor's degree,5,5,True
27,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,41.0,Male,Democrat,Bachelor's degree,3,4,True
28,superior,joy,scarce,unqualified,laugh,stupid,rapid,famous,useless,loyal,REPUBLICAN,40.0,Female,Democrat,Associate's/professional/vocational degree,4,2,True
29,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,32.0,Female,Republican,Master's degree,6,5,True
30,superior,joy,scarce,qualified,laugh,clever,rapid,unknown,useful,disloyal,DEMOCRAT,45.0,Male,Democrat,Bachelor's degree,5,4,True
31,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,37.0,Female,Republican,High school,5,5,False
32,superior,sorrow,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,60.0,Female,Republican,Bachelor's degree,6,3,True
33,superior,joy,plentiful,unqualified,laugh,stupid,rapid,famous,useless,disloyal,REPUBLICAN,42.0,Female,Democrat,Bachelor's degree,5,4,True
34,superior,joy,scarce,qualified,cry,clever,slow,unknown,useful,loyal,DEMOCRAT,30.0,Female,Democrat,Bachelor's degree,7,3,True
35,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,60.0,Male,Democrat,Master's degree,5,4,True
36,superior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useful,disloyal,REPUBLICAN,31.0,Female,Democrat,Bachelor's degree,5,4,False
37,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,45.0,Female,Democrat,Master's degree,5,3,True
38,inferior,sorrow,scarce,unqualified,laugh,stupid,slow,famous,useless,loyal,REPUBLICAN,41.0,Male,Democrat,Bachelor's degree,6,5,True
39,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,67.0,Male,Democrat,Master's degree,7,5,False
40,superior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,DEMOCRAT,60.0,Female,Republican,Associate's/professional/vocational degree,7,5,True
41,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,disloyal,DEMOCRAT,64.0,Female,Democrat,Some college (no degree),6,4,True
42,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,DEMOCRAT,55.0,Female,Republican,Master's degree,6,5,False
43,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,35.0,Female,Republican,High school,7,6,True
44,superior,joy,scarce,unqualified,laugh,clever,rapid,unknown,useful,disloyal,REPUBLICAN,29.0,Female,Republican,Associate's/professional/vocational degree,5,5,True
45,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,29.0,Male,Democrat,Associate's/professional/vocational degree,5,2,False
46,inferior,sorrow,scarce,unqualified,cry,clever,rapid,unknown,useful,disloyal,DEMOCRAT,61.0,Female,Democrat,High school,7,4,True
47,superior,sorrow,scarce,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,59.0,Male,Republican,Master's degree,5,5,True
48,superior,joy,scarce,unqualified,laugh,stupid,rapid,famous,useful,loyal,REPUBLICAN,22.0,Female,Democrat,Bachelor's degree,4,3,True
49,superior,sorrow,plentiful,qualified,cry,stupid,rapid,unknown,useful,disloyal,REPUBLICAN,52.0,Female,Republican,Bachelor's degree,2,1,True
50,superior,joy,scarce,qualified,cry,clever,rapid,famous,useful,disloyal,DEMOCRAT,44.0,Female,Republican,Master's degree,7,7,False
51,inferior,sorrow,scarce,unqualified,cry,clever,slow,unknown,useless,disloyal,REPUBLICAN,41.0,Male,Republican,Bachelor's degree,5,4,True
52,inferior,sorrow,scarce,qualified,cry,clever,slow,unknown,useless,loyal,DEMOCRAT,30.0,Female,Democrat,Master's degree,6,4,True
53,superior,joy,plentiful,unqualified,cry,stupid,rapid,famous,useful,loyal,REPUBLICAN,39.0,Female,Republican,Bachelor's degree,5,5,True
54,superior,sorrow,scarce,unqualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,27.0,Female,Democrat,High school,6,5,True
55,superior,joy,plentiful,unqualified,laugh,stupid,slow,famous,useless,loyal,REPUBLICAN,62.0,Female,Democrat,Bachelor's degree,3,3,True
56,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,50.0,Female,Democrat,Bachelor's degree,4,4,True
57,inferior,sorrow,plentiful,unqualified,laugh,clever,rapid,unknown,useless,loyal,DEMOCRAT,23.0,Female,Democrat,Bachelor's degree,7,5,True
58,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,59.0,Female,Democrat,Some college (no degree),7,3,True
59,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,20.0,Female,Democrat,Some college (no degree),5,3,True
60,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,27.0,Female,Democrat,Master's degree,6,4,False
61,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,32.0,Female,Republican,Bachelor's degree,7,5,True
62,inferior,joy,scarce,qualified,laugh,stupid,slow,famous,useless,disloyal,DEMOCRAT,51.0,Male,Republican,Master's degree,5,6,True
63,superior,joy,scarce,unqualified,cry,clever,rapid,famous,useless,disloyal,REPUBLICAN,28.0,Female,Democrat,Some college (no degree),6,4,True
64,inferior,joy,scarce,qualified,laugh,clever,slow,unknown,useful,loyal,DEMOCRAT,26.0,Female,Democrat,High school,7,6,True
65,inferior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,29.0,Female,Democrat,Bachelor's degree,5,4,True
66,superior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,52.0,Female,Republican,Master's degree,2,1,True
67,inferior,sorrow,scarce,unqualified,cry,clever,slow,unknown,useful,loyal,DEMOCRAT,33.0,Female,Democrat,Some college (no degree),2,2,False
68,superior,sorrow,plentiful,unqualified,cry,clever,slow,unknown,useless,disloyal,REPUBLICAN,58.0,Female,Republican,Bachelor's degree,4,5,True
69,superior,sorrow,plentiful,unqualified,cry,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,28.0,Female,Democrat,High school,4,1,True
70,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,30.0,Female,Democrat,Bachelor's degree,4,4,True
71,inferior,sorrow,scarce,unqualified,laugh,stupid,rapid,unknown,useless,loyal,REPUBLICAN,30.0,Male,Democrat,Associate's/professional/vocational degree,3,4,True
72,superior,joy,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,25.0,Male,Democrat,Bachelor's degree,3,3,True
73,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,60.0,Female,Republican,Master's degree,4,3,True
74,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,60.0,Female,Democrat,Master's degree,4,5,True
75,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,31.0,Female,Democrat,Associate's/professional/vocational degree,7,3,False
76,inferior,sorrow,plentiful,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,40.0,Female,Republican,Bachelor's degree,7,6,True
77,inferior,sorrow,plentiful,unqualified,cry,clever,rapid,famous,useful,disloyal,DEMOCRAT,55.0,Male,Republican,Bachelor's degree,6,3,True
78,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,57.0,Male,Republican,Bachelor's degree,7,6,True
79,inferior,joy,scarce,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,53.0,Female,Republican,Some college (no degree),5,3,True
80,inferior,joy,plentiful,unqualified,laugh,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,31.0,Female,Democrat,Master's degree,7,1,True
81,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,67.0,Female,Republican,Associate's/professional/vocational degree,4,2,True
82,inferior,joy,scarce,unqualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,32.0,Male,Democrat,Bachelor's degree,3,6,False
83,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,69.0,Male,Republican,Master's degree,5,6,True
84,inferior,joy,scarce,unqualified,laugh,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,35.0,Female,Democrat,Bachelor's degree,1,4,True
85,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,28.0,Female,Democrat,Bachelor's degree,3,1,False
86,superior,joy,plentiful,qualified,laugh,clever,slow,famous,useful,loyal,DEMOCRAT,30.0,Male,Democrat,Bachelor's degree,3,3,False
87,inferior,sorrow,plentiful,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,77.0,Male,Democrat,Bachelor's degree,6,5,True
88,inferior,sorrow,plentiful,unqualified,cry,stupid,rapid,famous,useless,disloyal,REPUBLICAN,25.0,Female,Democrat,Master's degree,7,5,False
89,inferior,sorrow,plentiful,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,19.0,Female,Democrat,Some college (no degree),7,3,True
90,superior,sorrow,scarce,unqualified,cry,stupid,rapid,unknown,useful,disloyal,REPUBLICAN,37.0,Female,Democrat,Master's degree,5,5,True
91,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,DEMOCRAT,24.0,Male,Republican,Some college (no degree),5,4,False
92,inferior,joy,plentiful,qualified,laugh,stupid,rapid,famous,useful,loyal,DEMOCRAT,28.0,Female,Republican,Master's degree,1,3,True
93,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,loyal,REPUBLICAN,36.0,Female,Democrat,Bachelor's degree,7,5,True
94,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,disloyal,DEMOCRAT,19.0,Male,Republican,Some college (no degree),4,5,True
95,superior,joy,scarce,unqualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,50.0,Female,Republican,Bachelor's degree,5,6,False
96,inferior,sorrow,scarce,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,40.0,Female,Democrat,Some college (no degree),4,6,True
97,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,22.0,Male,Democrat,Some college (no degree),7,3,True
98,superior,sorrow,plentiful,qualified,laugh,stupid,rapid,famous,useful,loyal,DEMOCRAT,41.0,Male,Republican,Some college (no degree),6,6,True
99,superior,joy,plentiful,qualified,laugh,stupid,slow,famous,useless,disloyal,REPUBLICAN,38.0,Female,Democrat,High school,6,6,False
100,inferior,sorrow,scarce,unqualified,laugh,stupid,rapid,famous,useless,disloyal,REPUBLICAN,36.0,Female,Democrat,Master's degree,3,3,False
101,inferior,sorrow,scarce,qualified,laugh,clever,slow,unknown,useful,loyal,DEMOCRAT,56.0,Female,Democrat,Bachelor's degree,5,5,True
102,inferior,sorrow,plentiful,unqualified,cry,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,33.0,Male,Democrat,Master's degree,7,7,False
103,superior,sorrow,plentiful,qualified,cry,clever,slow,famous,useful,disloyal,DEMOCRAT,57.0,Female,Republican,Bachelor's degree,3,2,True
104,superior,sorrow,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,53.0,Female,Republican,Some college (no degree),7,7,True
105,inferior,joy,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,54.0,Female,Democrat,Master's degree,6,5,True
106,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,70.0,Female,Democrat,Some college (no degree),6,6,True
107,inferior,sorrow,scarce,unqualified,laugh,stupid,slow,unknown,useless,disloyal,REPUBLICAN,28.0,Male,Democrat,Some college (no degree),6,2,False
108,superior,joy,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,23.0,Female,Democrat,Master's degree,7,7,True
109,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,63.0,Male,Democrat,Some college (no degree),3,5,False
110,superior,joy,scarce,qualified,laugh,clever,rapid,famous,useless,loyal,REPUBLICAN,56.0,Female,Democrat,Master's degree,7,4,True
111,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,28.0,Male,Democrat,Bachelor's degree,5,4,False
112,superior,joy,plentiful,qualified,cry,clever,rapid,famous,useless,loyal,REPUBLICAN,58.0,Male,Republican,Bachelor's degree,3,5,False
113,superior,sorrow,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,40.0,Female,Democrat,Bachelor's degree,4,2,True
114,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,41.0,Female,Democrat,Associate's/professional/vocational degree,5,4,True
115,superior,sorrow,scarce,unqualified,cry,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,37.0,Female,Democrat,Some college (no degree),7,7,True
116,superior,joy,scarce,unqualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,39.0,Male,Democrat,Associate's/professional/vocational degree,5,6,True
117,inferior,joy,scarce,unqualified,laugh,stupid,slow,unknown,useless,loyal,REPUBLICAN,34.0,Female,Democrat,Bachelor's degree,5,5,True
118,superior,joy,scarce,qualified,laugh,stupid,slow,famous,useless,loyal,DEMOCRAT,28.0,Male,Democrat,Bachelor's degree,3,4,False
119,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,unknown,useless,loyal,REPUBLICAN,39.0,Male,Democrat,Master's degree,5,5,False
120,superior,joy,plentiful,qualified,laugh,clever,slow,famous,useful,loyal,DEMOCRAT,50.0,Female,Democrat,Bachelor's degree,6,6,True
121,superior,joy,plentiful,qualified,laugh,clever,slow,unknown,useful,loyal,REPUBLICAN,50.0,Female,Republican,Some college (no degree),5,5,True
122,superior,sorrow,scarce,unqualified,laugh,clever,rapid,famous,useless,loyal,REPUBLICAN,35.0,Female,Republican,Associate's/professional/vocational degree,5,3,True
123,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,DEMOCRAT,70.0,Male,Republican,Bachelor's degree,5,4,False
