,small,large,valence_sm,valence_lg,small_sig,large_sig,category
0,food,foods,7.52,,0.955214437,0.770799791,positive
1,paycheck,paychecks,7.48,,0.614367582,-0.239863249,positive
2,girl,girls,7.15,,-0.623322395,0.153063549,positive
3,coastline,coastlines,7.5,,1.515633628,2.018133969,positive
4,summer,summers,7.5,,0.0734113,0.708278706,positive
5,achievement,achievements,7.28,,0.135990035,0.181479231,positive
6,asset,assets,7.25,,0.117701606,-0.127745559,positive
7,relationship,relationships,7.83,,-0.108819924,0.092638607,positive
8,daughter,daughters,6.73,,-0.067499202,0.054659845,positive
9,legacy,legacies,7.38,,0.073340865,1.515633628,positive
10,song,songs,7.59,,-0.026260151,0.363630535,positive
11,weekend,weekends,7.17,,0.007883647,-0.654291373,positive
12,sanctuary,sanctuaries,7.05,,-1.538563666,-0.069328873,positive
13,friendship,friendships,7.76,,0.0952069,-0.447840496,positive
14,victory,victories,7.59,,-0.34883193,-0.054531871,positive
15,accomplishment,accomplishments,8.05,,-0.050832529,-0.143529814,positive
16,miracle,miracles,7.3,,-1.112830511,-2.317256386,positive
17,husband,husbands,7.41,,-0.299334478,-0.30636807,positive
18,sky,skies,7.32,,-0.535413977,-0.298810719,positive
19,winner,winners,7.86,,-0.302528049,-0.141119556,positive
20,bonus,bonuses,8.05,,-0.27577975,-1.285903967,positive
21,angel,angels,7.71,,-0.928847649,-1.143329454,positive
22,tree,trees,7.59,,-0.644953509,-1.072985896,positive
23,son,sons,6.91,,-0.220554023,-0.534709757,positive
24,success,successes,7.49,,-0.29406385,-0.186052479,positive
25,disease,diseases,1.68,,0.487419436,0.304092136,negative
26,foreclosure,foreclosures,1.75,,3.065830711,3.454233084,negative
27,debt,debts,1.95,,-0.379088354,0.639208313,negative
28,homicide,homicides,1.5,,0.73299046,1.362010439,negative
29,suicide,suicides,1.58,,-0.131239474,0.747224986,negative
30,deficiency,deficiencies,2.74,,1.930671127,0.757134872,negative
31,bankruptcy,bankruptcies,2.52,,-0.320024944,1.708278706,negative
32,confrontation,confrontations,2.57,,1.234451876,2.515633628,negative
33,fugitive,fugitives,2.74,,-1.002214677,1.837561723,negative
34,assassination,assassinations,1.83,,0.144795933,0.778668034,negative
35,killer,killers,1.74,,0.050965361,-0.872292025,negative
36,fee,fees,2.86,,0.236684733,0.00114043,negative
37,monster,monsters,2.55,,1.425435819,-3.528760491,negative
38,headstone,headstones,2.45,,-2.528760491,-1.069328873,negative
39,funeral,funerals,2.07,,-0.5547557,-0.5547557,negative
40,nightmare,nightmares,1.79,,-0.495862011,-1.18480609,negative
41,rapist,rapists,1.3,,-1.846936451,1.553601478,negative
42,attacker,attackers,2.23,,-0.779822255,-0.516787849,negative
43,difficulty,difficulties,2.57,,-0.097343249,0.084476464,negative
44,genocide,genocides,1.62,,-0.075798368,3.73802605,negative
45,crime,crimes,1.95,,-0.028591247,0.011591123,negative
46,prison,prisons,1.94,,-0.262642535,-0.327754025,negative
47,failure,failures,2.15,,0.136245931,-0.608694507,negative
48,argument,arguments,2.62,,-0.166407754,-0.314875852,negative
49,death,deaths,1.89,,-0.186512412,0.581157201,negative
50,proposal,proposals,5.45,,0.799120647,0.899461168,neutral
51,site,sites,5.22,,-0.573435046,0.264281027,neutral
52,assessment,assessments,5.22,,0.2969428,0.282346566,neutral
53,counterpart,counterparts,5.38,,-0.884904301,0.410516922,neutral
54,region,regions,5.21,,0.172157753,0.285045845,neutral
55,proportion,proportions,5.2,,0.582747824,0.111243373,neutral
56,instruction,instructions,5.22,,0.337846509,-0.698685493,neutral
57,delegation,delegations,5.2,,0.039195584,1.068174651,neutral
58,particle,particles,5.24,,3.837561723,2.390102746,neutral
59,predecessor,predecessors,5.11,,0.272903319,0.246698621,neutral
60,payment,payments,5.16,,-0.186461506,0.011447254,neutral
61,unit,units,5.29,,-0.328848794,0.007292409,neutral
62,bathroom,bathrooms,5.26,,0.05620201,-0.291721294,neutral
63,spine,spines,5.33,,-2.023525183,-3.654291373,neutral
64,exception,exceptions,5.25,,0.236059546,-0.024540951,neutral
65,dimension,dimensions,5.24,,1.59363614,-0.806294467,neutral
66,affiliation,affiliations,5.32,,-0.181221753,0.582747824,neutral
67,referral,referrals,5.52,,-1.839847026,-1.069328873,neutral
68,pantry,pantries,5.38,,-0.843053017,5.574527317,neutral
69,concession,concessions,5.32,,-1.684038717,-1.031854167,neutral
70,pillar,pillars,5.48,,-0.810795859,-1.354731091,neutral
71,department,departments,5.33,,-0.155523501,-0.117157398,neutral
72,door,doors,5.43,,-0.279313363,-0.165979876,neutral
73,location,locations,5.77,,-0.606594631,-0.173351937,neutral
74,town,towns,5.59,,-0.666100676,0.238310835,neutral
75,second,minute,5.23,5.5,,0.011405555,magnitude
76,hour,day,5.05,6.36,0.030158102,-0.110932029,magnitude
77,week,month,5.27,5.78,0.069162116,,magnitude
78,year,decade,5.75,4.75,-0.16030722,0.373643767,magnitude
79,century,millenium,5.36,,0.358855636,,magnitude
80,inch,foot,5.4,4.68,-0.574121025,0.137600431,magnitude
81,yard,mile,5.7,4.78,-0.681512842,-0.607424768,magnitude
82,centimeter,kilometer,,5.52,,,magnitude
83,ounce,pound,5.65,4.62,0.515633628,-0.310336972,magnitude
84,gram,kilogram,5.15,,,,magnitude
85,teaspoon,tablespoon,5.25,,,,magnitude
86,cup,liter,5.94,4.37,-0.009622626,,magnitude
87,quart,gallon,4.89,5.67,,-0.748227774,magnitude
88,watt,horsepower,,5.57,0.278594431,,magnitude
89,byte,kilobyte,,,,,magnitude
90,megabyte,gigabyte,,,,,magnitude
91,hertz,gigahertz,5,,,,magnitude
92,cent,dollar,5.37,7.39,0.575576169,-0.19610599,magnitude
93,one,ten,6.09,5.16,,0.403203871,magnitude
94,hundred,thousand,6.5,6.44,0.122097198,0.055452752,magnitude
95,few,some,,,,,magnitude
96,several,many,,,-0.132113043,,magnitude
97,small,big,5.76,5.64,-0.527496678,-0.004161436,magnitude
98,short,long,5.67,,0.323580668,,magnitude
99,narrow,wide,4.95,4.58,0.409324726,0.284736182,magnitude